year,tech,type,HS,HS6,HS2,export_unit,export_num,export_value,export_average,import_unit,import_num,import_value,import_average,diff_value,average_value,diff_ratio,average_ratio
1994,6,1,820231000,820231,82,NO,800,554,,NO,16934,40176,,-39622,,-0.972796465,
1995,6,1,820231000,820231,82,NO,36356,9688,,NO,31812,36791,,-27103,,-0.583123561,
1996,6,1,820231000,820231,82,KG,125008,192024,1.53609369,KG,39262,50870,1.295654832,141154,0.240438858,0.581134157,0.084908267
1997,6,1,820231000,820231,82,KG,271096,532715,1.965041904,KG,25441,95687,3.761133603,437028,-1.796091699,0.695459276,-0.313663404
1998,6,1,820231000,820231,82,KG,171356,329415,1.922401317,KG,15549,97094,6.244388707,232321,-4.32198739,0.544703629,-0.529214952
1999,6,1,820231000,820231,82,KG,241880,298080,1.232346618,KG,20213,89138,4.409934201,208942,-3.177587583,0.539597849,-0.563174306
2000,6,1,820231000,820231,82,KG,205519,324417,1.578525586,KG,11240,74204,6.601779359,250213,-5.023253773,0.627696484,-0.614066811
1996,6,1,820239000,820239,82,KG,83518,123937,1.483955554,KG,25868,49782,1.924462657,74155,-0.440507102,0.426867527,-0.129240919
1997,6,1,820239000,820239,82,KG,72579,121180,1.669628956,KG,45362,24112,0.531546228,97068,1.138082728,0.66808909,0.517034144
1998,6,1,820239000,820239,82,KG,202188,450411,2.227684136,KG,69696,46036,0.660525712,404375,1.567158424,0.814538108,0.542605457
1999,6,1,820239000,820239,82,KG,250865,513848,2.048304865,KG,78085,106143,1.359326375,407705,0.68897849,0.657598255,0.202186927
2000,6,1,820239000,820239,82,KG,391241,741875,1.896209753,KG,77148,64743,0.839205164,677132,1.057004589,0.83947048,0.38641472
1994,6,1,820720000,820720,82,KG,12446,31527,2.533103005,,,,,31527,2.533103005,1,1
1995,6,1,820720000,820720,82,KG,3095,24446,7.898546042,,,,,24446,7.898546042,1,1
1996,6,1,820720000,820720,82,KG,1792,36354,20.28683036,,,,,36354,20.28683036,1,1
1997,6,1,820720000,820720,82,KG,8589,129324,15.05693329,,,,,129324,15.05693329,1,1
1998,6,1,820720000,820720,82,KG,6182,154888,25.05467486,,,,,154888,25.05467486,1,1
1999,6,1,820720000,820720,82,KG,4741,174368,36.77873866,,,,,174368,36.77873866,1,1
2000,6,1,820720000,820720,82,KG,5469,147154,26.90692997,,,,,147154,26.90692997,1,1
1994,6,1,820720100,820720,82,,,,,KG,28,4325,154.4642857,-4325,-154.4642857,-1,-1
1995,6,1,820720100,820720,82,,,,,KG,156,5509,35.31410256,-5509,-35.31410256,-1,-1
1996,6,1,820720100,820720,82,,,,,KG,498,8946,17.96385542,-8946,-17.96385542,-1,-1
1997,6,1,820720100,820720,82,,,,,KG,897,10098,11.25752508,-10098,-11.25752508,-1,-1
1998,6,1,820720100,820720,82,,,,,KG,833,27249,32.71188475,-27249,-32.71188475,-1,-1
1999,6,1,820720100,820720,82,,,,,KG,347,12985,37.42074928,-12985,-37.42074928,-1,-1
2000,6,1,820720100,820720,82,,,,,KG,1508,49830,33.04376658,-49830,-33.04376658,-1,-1
1994,6,1,820720200,820720,82,,,,,KG,594,7512,12.64646465,-7512,-12.64646465,-1,-1
1995,6,1,820720200,820720,82,,,,,KG,1443,53017,36.74081774,-53017,-36.74081774,-1,-1
1996,6,1,820720200,820720,82,,,,,KG,559,12248,21.91055456,-12248,-21.91055456,-1,-1
1997,6,1,820720200,820720,82,,,,,KG,134,4024,30.02985075,-4024,-30.02985075,-1,-1
1998,6,1,820720200,820720,82,,,,,KG,137,7493,54.69343066,-7493,-54.69343066,-1,-1
1999,6,1,820720200,820720,82,,,,,KG,2039,32578,15.97743992,-32578,-15.97743992,-1,-1
2000,6,1,820720200,820720,82,,,,,KG,426,21593,50.68779343,-21593,-50.68779343,-1,-1
1994,6,1,820720900,820720,82,,,,,KG,12435,151467,12.18069964,-151467,-12.18069964,-1,-1
1995,6,1,820720900,820720,82,,,,,KG,23777,175818,7.394456828,-175818,-7.394456828,-1,-1
1996,6,1,820720900,820720,82,,,,,KG,39914,341256,8.549782031,-341256,-8.549782031,-1,-1
1997,6,1,820720900,820720,82,,,,,KG,15494,149962,9.678714341,-149962,-9.678714341,-1,-1
1998,6,1,820720900,820720,82,,,,,KG,12731,184059,14.45754458,-184059,-14.45754458,-1,-1
1999,6,1,820720900,820720,82,,,,,KG,36180,192029,5.307600884,-192029,-5.307600884,-1,-1
2000,6,1,820720900,820720,82,,,,,KG,22656,293012,12.93308616,-293012,-12.93308616,-1,-1
1994,4,4,820750010,820750,82,KG,84735,145492,1.717023662,,,,,145492,1.717023662,1,1
1995,4,4,820750010,820750,82,KG,101994,148906,1.459948624,,,,,148906,1.459948624,1,1
1996,4,4,820750010,820750,82,KG,107041,178964,1.671920105,,,,,178964,1.671920105,1,1
1997,4,4,820750010,820750,82,KG,95148,197277,2.073369908,,,,,197277,2.073369908,1,1
1998,4,4,820750010,820750,82,KG,77295,173605,2.246005563,,,,,173605,2.246005563,1,1
1999,4,4,820750010,820750,82,KG,98769,189010,1.913657119,,,,,189010,1.913657119,1,1
2000,4,4,820750010,820750,82,KG,106240,197995,1.863657756,,,,,197995,1.863657756,1,1
1994,4,4,820750090,820750,82,KG,14158,98494,6.956773556,,,,,98494,6.956773556,1,1
1995,4,4,820750090,820750,82,KG,19174,203465,10.61150516,,,,,203465,10.61150516,1,1
1996,4,4,820750090,820750,82,KG,69679,466008,6.687926061,,,,,466008,6.687926061,1,1
1997,4,4,820750090,820750,82,KG,91593,564097,6.158734838,,,,,564097,6.158734838,1,1
1998,4,4,820750090,820750,82,KG,85250,763886,8.960539589,,,,,763886,8.960539589,1,1
1999,4,4,820750090,820750,82,KG,76955,431735,5.610226756,,,,,431735,5.610226756,1,1
2000,4,4,820750090,820750,82,KG,177548,571895,3.221072611,,,,,571895,3.221072611,1,1
1994,4,4,820750100,820750,82,,,,,KG,264,17777,67.33712121,-17777,-67.33712121,-1,-1
1995,4,4,820750100,820750,82,,,,,KG,820,44189,53.88902439,-44189,-53.88902439,-1,-1
1996,4,4,820750100,820750,82,,,,,KG,3748,65016,17.34685165,-65016,-17.34685165,-1,-1
1997,4,4,820750100,820750,82,,,,,KG,6825,134629,19.72586081,-134629,-19.72586081,-1,-1
1998,4,4,820750100,820750,82,,,,,KG,11939,150247,12.58455482,-150247,-12.58455482,-1,-1
1999,4,4,820750100,820750,82,,,,,KG,18018,284445,15.78671329,-284445,-15.78671329,-1,-1
2000,4,4,820750100,820750,82,,,,,KG,19381,275807,14.23079304,-275807,-14.23079304,-1,-1
1994,4,4,820750200,820750,82,,,,,KG,3291,60674,18.43634154,-60674,-18.43634154,-1,-1
1995,4,4,820750200,820750,82,,,,,KG,4761,50626,10.63348036,-50626,-10.63348036,-1,-1
1996,4,4,820750200,820750,82,,,,,KG,5392,63727,11.81880564,-63727,-11.81880564,-1,-1
1997,4,4,820750200,820750,82,,,,,KG,7779,125809,16.1729014,-125809,-16.1729014,-1,-1
1998,4,4,820750200,820750,82,,,,,KG,3184,69600,21.85929648,-69600,-21.85929648,-1,-1
1999,4,4,820750200,820750,82,,,,,KG,8674,114213,13.16728153,-114213,-13.16728153,-1,-1
2000,4,4,820750200,820750,82,,,,,KG,4383,84061,19.17887292,-84061,-19.17887292,-1,-1
1994,4,4,820750900,820750,82,,,,,KG,7723,57642,7.463679917,-57642,-7.463679917,-1,-1
1995,4,4,820750900,820750,82,,,,,KG,4775,72342,15.15015707,-72342,-15.15015707,-1,-1
1996,4,4,820750900,820750,82,,,,,KG,27174,198315,7.297968647,-198315,-7.297968647,-1,-1
1997,4,4,820750900,820750,82,,,,,KG,17898,188485,10.53106492,-188485,-10.53106492,-1,-1
1998,4,4,820750900,820750,82,,,,,KG,11281,180672,16.01560145,-180672,-16.01560145,-1,-1
1999,4,4,820750900,820750,82,,,,,KG,13127,196641,14.97988878,-196641,-14.97988878,-1,-1
2000,4,4,820750900,820750,82,,,,,KG,11057,239178,21.63136475,-239178,-21.63136475,-1,-1
1994,4,3,830140000,830140,83,KG,184649,107916,0.584438583,KG,16678,55027,3.299376424,52889,-2.714937841,0.324585898,-0.699038918
1995,4,3,830140000,830140,83,KG,288511,212115,0.735205937,KG,37850,108318,2.861770145,103797,-2.126564209,0.323927311,-0.591208882
1996,4,3,830140000,830140,83,KG,453733,445818,0.98255582,KG,18899,87782,4.644796021,358036,-3.662240201,0.670982009,-0.650792825
1997,4,3,830140000,830140,83,KG,704075,476688,0.677041508,KG,26015,126632,4.867653277,350056,-4.190611769,0.580216137,-0.755787637
1998,4,3,830140000,830140,83,KG,724739,546750,0.754409518,KG,41256,143667,3.482329843,403083,-2.727920324,0.583825427,-0.643872585
1999,4,3,830140000,830140,83,KG,1496215,919253,0.614385633,KG,89221,200319,2.245200121,718934,-1.630814488,0.64215075,-0.570297459
2000,4,3,830140000,830140,83,KG,2279436,1422514,0.624064023,KG,93405,203933,2.183319951,1218581,-1.559255928,0.749228841,-0.55541242
1994,4,4,830300000,830300,83,KG,940,570,0.606382979,KG,258843,204679,0.790745742,-204109,-0.184362763,-0.994445771,-0.131958323
1995,4,4,830300000,830300,83,KG,18648,3076,0.164950665,KG,270672,200508,0.740778507,-197432,-0.575827842,-0.969781515,-0.635761616
1996,4,4,830300000,830300,83,KG,10500,9734,0.927047619,KG,202221,169008,0.835758897,-159274,0.091288722,-0.891083237,0.051786013
1997,4,4,830300000,830300,83,KG,53005,43306,0.817017263,KG,110429,169480,1.53474178,-126174,-0.717724517,-0.592961943,-0.305186248
1998,4,4,830300000,830300,83,KG,44671,24601,0.550715229,KG,89503,47712,0.533077104,-23111,0.017638126,-0.319596753,0.016274451
1999,4,4,830300000,830300,83,KG,313684,242220,0.772178371,KG,36860,37861,1.02715681,204359,-0.254978439,0.729642496,-0.141707027
2000,4,4,830300000,830300,83,KG,225379,192976,0.856228841,KG,127167,136700,1.074964417,56276,-0.218735576,0.170700931,-0.113264467
1994,6,1,830710000,830710,83,KG,482468,338735,0.702088014,KG,149433,176992,1.184423789,161743,-0.482335774,0.313621354,-0.255675991
1995,6,1,830710000,830710,83,KG,789160,498374,0.631524659,KG,100371,237188,2.363112851,261186,-1.731588192,0.355083596,-0.578229648
1996,6,1,830710000,830710,83,KG,1341745,779136,0.580688581,KG,199244,458908,2.303246271,320228,-1.72255769,0.258656397,-0.597294245
1997,6,1,830710000,830710,83,KG,1944850,1059880,0.544967478,KG,112412,184520,1.641461766,875360,-1.096494287,0.703439409,-0.50150001
1998,6,1,830710000,830710,83,KG,2060791,1073149,0.52074616,KG,80637,210874,2.615102248,862275,-2.094356088,0.671541709,-0.667875425
1999,6,1,830710000,830710,83,KG,2233163,1038146,0.464876948,KG,58119,70863,1.219274248,967283,-0.7543973,0.872204824,-0.447939176
2000,6,1,830710000,830710,83,KG,2584730,1026939,0.39730997,KG,76089,77555,1.019266911,949384,-0.621956941,0.859564651,-0.439056255
1994,6,1,830790000,830790,83,KG,3195,3371,1.055086072,KG,8219,5675,0.690473294,-2304,0.364612778,-0.254698209,0.208880194
1995,6,1,830790000,830790,83,KG,2535,3887,1.533333333,KG,2492,7651,3.070224719,-3764,-1.536891386,-0.326226382,-0.333848595
1996,6,1,830790000,830790,83,KG,6835,1821,0.266422824,KG,4904,25461,5.191884176,-23640,-4.925461352,-0.866505388,-0.902378952
1997,6,1,830790000,830790,83,,,,,KG,3247,7471,2.300893132,-7471,-2.300893132,-1,-1
1998,6,1,830790000,830790,83,KG,49,222,4.530612245,KG,823,2897,3.520048603,-2675,1.010563642,-0.857646682,0.125525551
1999,6,1,830790000,830790,83,,,,,KG,1822,6272,3.442371021,-6272,-3.442371021,-1,-1
2000,6,1,830790000,830790,83,KG,9017,3350,0.371520461,KG,1095,6043,5.518721461,-2693,-5.147201,-0.286702864,-0.873852223
1994,7,3,840732000,840732,84,KG,591,899,1.521150592,,,,,899,1.521150592,1,1
1995,7,3,840732000,840732,84,KG,290,471,1.624137931,,,,,471,1.624137931,1,1
1996,7,3,840732000,840732,84,KG,75,206,2.746666667,,,,,206,2.746666667,1,1
1997,7,3,840732000,840732,84,KG,662,1561,2.358006042,,,,,1561,2.358006042,1,1
1998,7,3,840732000,840732,84,KG,840,2211,2.632142857,,,,,2211,2.632142857,1,1
1999,7,3,840732000,840732,84,KG,1630,3084,1.89202454,,,,,3084,1.89202454,1,1
2000,7,3,840732000,840732,84,KG,560,1654,2.953571429,,,,,1654,2.953571429,1,1
1994,7,3,840732100,840732,84,,,,,KG,8193332,15796284,1.927943845,-15796284,-1.927943845,-1,-1
1995,7,3,840732100,840732,84,,,,,KG,8403005,15690354,1.867231306,-15690354,-1.867231306,-1,-1
1996,7,3,840732100,840732,84,,,,,KG,6689534,12913998,1.930477968,-12913998,-1.930477968,-1,-1
1997,7,3,840732100,840732,84,,,,,KG,4912610,10754003,2.189061008,-10754003,-2.189061008,-1,-1
1998,7,3,840732100,840732,84,,,,,KG,3630700,8134126,2.240374033,-8134126,-2.240374033,-1,-1
1999,7,3,840732100,840732,84,,,,,KG,1472470,2875983,1.953169165,-2875983,-1.953169165,-1,-1
2000,7,3,840732100,840732,84,,,,,KG,833695,1349339,1.618504369,-1349339,-1.618504369,-1,-1
1995,7,3,840732900,840732,84,,,,,KG,250,1881,7.524,-1881,-7.524,-1,-1
1997,7,3,840732900,840732,84,,,,,KG,440,1792,4.072727273,-1792,-4.072727273,-1,-1
1999,7,3,840732900,840732,84,,,,,KG,324,1280,3.950617284,-1280,-3.950617284,-1,-1
2000,7,3,840732900,840732,84,,,,,KG,75,342,4.56,-342,-4.56,-1,-1
1994,7,2,840991010,840991,84,KG,65045,25681,0.394818971,,,,,25681,0.394818971,1,1
1995,7,2,840991010,840991,84,KG,65384,46348,0.708858436,,,,,46348,0.708858436,1,1
1996,7,2,840991010,840991,84,KG,1203066,326790,0.271630983,,,,,326790,0.271630983,1,1
1997,7,2,840991010,840991,84,KG,2021600,826648,0.408907796,,,,,826648,0.408907796,1,1
1998,7,2,840991010,840991,84,KG,2315342,1036344,0.44759867,,,,,1036344,0.44759867,1,1
1999,7,2,840991010,840991,84,KG,3428403,2070555,0.603941544,,,,,2070555,0.603941544,1,1
2000,7,2,840991010,840991,84,KG,3217743,1636725,0.508656223,,,,,1636725,0.508656223,1,1
1994,7,2,840991090,840991,84,KG,4524,13754,3.040229885,,,,,13754,3.040229885,1,1
1995,7,2,840991090,840991,84,KG,81929,204023,2.490241551,,,,,204023,2.490241551,1,1
1996,7,2,840991090,840991,84,KG,155182,210953,1.359390909,,,,,210953,1.359390909,1,1
1997,7,2,840991090,840991,84,KG,157238,306003,1.946113535,,,,,306003,1.946113535,1,1
1998,7,2,840991090,840991,84,KG,570918,577008,1.010667031,,,,,577008,1.010667031,1,1
1999,7,2,840991090,840991,84,KG,751535,741058,0.986059199,,,,,741058,0.986059199,1,1
2000,7,2,840991090,840991,84,KG,674949,612710,0.907787107,,,,,612710,0.907787107,1,1
1994,7,2,840991100,840991,84,,,,,KG,9530248,15860439,1.664221015,-15860439,-1.664221015,-1,-1
1995,7,2,840991100,840991,84,,,,,KG,11457835,19462691,1.698635999,-19462691,-1.698635999,-1,-1
1996,7,2,840991100,840991,84,,,,,KG,10748739,18390436,1.71093893,-18390436,-1.71093893,-1,-1
1997,7,2,840991100,840991,84,,,,,KG,12859545,20066261,1.560417651,-20066261,-1.560417651,-1,-1
1998,7,2,840991100,840991,84,,,,,KG,7625119,14174642,1.858940431,-14174642,-1.858940431,-1,-1
1999,7,2,840991100,840991,84,,,,,KG,8092942,18509917,2.28716788,-18509917,-2.28716788,-1,-1
2000,7,2,840991100,840991,84,,,,,KG,7514305,12782178,1.701045938,-12782178,-1.701045938,-1,-1
1994,7,2,840991200,840991,84,,,,,KG,7597,29210,3.844938792,-29210,-3.844938792,-1,-1
1995,7,2,840991200,840991,84,,,,,KG,25983,47542,1.829734827,-47542,-1.829734827,-1,-1
1996,7,2,840991200,840991,84,,,,,KG,24400,97674,4.003032787,-97674,-4.003032787,-1,-1
1997,7,2,840991200,840991,84,,,,,KG,15336,92831,6.053142932,-92831,-6.053142932,-1,-1
1998,7,2,840991200,840991,84,,,,,KG,11892,40530,3.408173562,-40530,-3.408173562,-1,-1
1999,7,2,840991200,840991,84,,,,,KG,7885,38623,4.898287888,-38623,-4.898287888,-1,-1
2000,7,2,840991200,840991,84,,,,,KG,28884,76529,2.649529151,-76529,-2.649529151,-1,-1
1994,7,2,840991900,840991,84,,,,,KG,852,6862,8.05399061,-6862,-8.05399061,-1,-1
1995,7,2,840991900,840991,84,,,,,KG,7496,38766,5.171558164,-38766,-5.171558164,-1,-1
1996,7,2,840991900,840991,84,,,,,KG,39139,131266,3.353841437,-131266,-3.353841437,-1,-1
1997,7,2,840991900,840991,84,,,,,KG,64349,254111,3.948950256,-254111,-3.948950256,-1,-1
1998,7,2,840991900,840991,84,,,,,KG,24922,67613,2.712984512,-67613,-2.712984512,-1,-1
1999,7,2,840991900,840991,84,,,,,KG,80526,173492,2.154484266,-173492,-2.154484266,-1,-1
2000,7,2,840991900,840991,84,,,,,KG,83742,250860,2.995629433,-250860,-2.995629433,-1,-1
1994,4,1,840999010,840999,84,KG,62277,21900,0.351654704,,,,,21900,0.351654704,1,1
1995,4,1,840999010,840999,84,KG,98994,41311,0.41730812,,,,,41311,0.41730812,1,1
1996,4,1,840999010,840999,84,KG,356864,79797,0.223606192,,,,,79797,0.223606192,1,1
1997,4,1,840999010,840999,84,KG,1528042,279125,0.182668408,,,,,279125,0.182668408,1,1
1998,4,1,840999010,840999,84,KG,2490157,486670,0.195437476,,,,,486670,0.195437476,1,1
1999,4,1,840999010,840999,84,KG,1490832,268966,0.180413353,,,,,268966,0.180413353,1,1
2000,4,1,840999010,840999,84,KG,1263820,251489,0.198991154,,,,,251489,0.198991154,1,1
1994,4,1,840999090,840999,84,KG,257730,62500,0.242501843,,,,,62500,0.242501843,1,1
1995,4,1,840999090,840999,84,KG,1592503,241036,0.151356701,,,,,241036,0.151356701,1,1
1996,4,1,840999090,840999,84,KG,4320032,838351,0.194061294,,,,,838351,0.194061294,1,1
1997,4,1,840999090,840999,84,KG,4270976,947576,0.221864042,,,,,947576,0.221864042,1,1
1998,4,1,840999090,840999,84,KG,3208326,805997,0.251220418,,,,,805997,0.251220418,1,1
1999,4,1,840999090,840999,84,KG,2482526,523577,0.210904941,,,,,523577,0.210904941,1,1
2000,4,1,840999090,840999,84,KG,2970436,628996,0.211752079,,,,,628996,0.211752079,1,1
1994,4,1,840999100,840999,84,,,,,KG,2822427,3320319,1.176405625,-3320319,-1.176405625,-1,-1
1995,4,1,840999100,840999,84,,,,,KG,3036608,3438415,1.132320998,-3438415,-1.132320998,-1,-1
1996,4,1,840999100,840999,84,,,,,KG,3531546,4910442,1.390451094,-4910442,-1.390451094,-1,-1
1997,4,1,840999100,840999,84,,,,,KG,1844709,3836550,2.079758921,-3836550,-2.079758921,-1,-1
1998,4,1,840999100,840999,84,,,,,KG,1927794,3583724,1.858976633,-3583724,-1.858976633,-1,-1
1999,4,1,840999100,840999,84,,,,,KG,1832053,3552695,1.939187895,-3552695,-1.939187895,-1,-1
2000,4,1,840999100,840999,84,,,,,KG,1593108,2935102,1.842374779,-2935102,-1.842374779,-1,-1
1994,4,1,840999200,840999,84,,,,,KG,441511,964840,2.185313616,-964840,-2.185313616,-1,-1
1995,4,1,840999200,840999,84,,,,,KG,573982,1094982,1.907693969,-1094982,-1.907693969,-1,-1
1996,4,1,840999200,840999,84,,,,,KG,623355,1073843,1.722682901,-1073843,-1.722682901,-1,-1
1997,4,1,840999200,840999,84,,,,,KG,564514,956371,1.694149304,-956371,-1.694149304,-1,-1
1998,4,1,840999200,840999,84,,,,,KG,638906,1178958,1.845276144,-1178958,-1.845276144,-1,-1
1999,4,1,840999200,840999,84,,,,,KG,648786,933781,1.439274275,-933781,-1.439274275,-1,-1
2000,4,1,840999200,840999,84,,,,,KG,548131,914588,1.668557334,-914588,-1.668557334,-1,-1
1994,4,1,840999900,840999,84,,,,,KG,53320,342344,6.420555139,-342344,-6.420555139,-1,-1
1995,4,1,840999900,840999,84,,,,,KG,56300,300058,5.329626998,-300058,-5.329626998,-1,-1
1996,4,1,840999900,840999,84,,,,,KG,68053,292578,4.299266748,-292578,-4.299266748,-1,-1
1997,4,1,840999900,840999,84,,,,,KG,39483,277611,7.031152648,-277611,-7.031152648,-1,-1
1998,4,1,840999900,840999,84,,,,,KG,67330,383343,5.693494727,-383343,-5.693494727,-1,-1
1999,4,1,840999900,840999,84,,,,,KG,109580,339477,3.097983209,-339477,-3.097983209,-1,-1
2000,4,1,840999900,840999,84,,,,,KG,140030,440187,3.143519246,-440187,-3.143519246,-1,-1
1997,7,3,841012000,841012,84,,,,,KG,2061,13957,6.771955361,-13957,-6.771955361,-1,-1
1995,7,3,841013000,841013,84,,,,,KG,510101,749375,1.469071811,-749375,-1.469071811,-1,-1
1998,7,3,841013000,841013,84,,,,,KG,1114546,918714,0.824294376,-918714,-0.824294376,-1,-1
1999,7,3,841013000,841013,84,,,,,KG,588953,486402,0.825875749,-486402,-0.825875749,-1,-1
1994,7,4,841090000,841090,84,KG,72084,22527,0.312510405,KG,134208,48281,0.359747556,-25754,-0.047237152,-0.363715964,-0.070266407
1995,7,4,841090000,841090,84,KG,64585,27163,0.420577533,KG,417000,220771,0.529426859,-193608,-0.108849325,-0.780885236,-0.114577707
1996,7,4,841090000,841090,84,KG,158172,111959,0.707830716,KG,337237,483436,1.433520047,-371477,-0.725689331,-0.623916896,-0.338893255
1997,7,4,841090000,841090,84,KG,322515,164771,0.510894067,KG,615959,329755,0.535352191,-164984,-0.024458124,-0.333620477,-0.023377024
1998,7,4,841090000,841090,84,KG,195798,67416,0.344314038,KG,38070,125330,3.292093512,-57914,-2.947779474,-0.300467973,-0.810629566
1999,7,4,841090000,841090,84,KG,46914,33453,0.713070725,KG,18091,104682,5.786413134,-71229,-5.073342408,-0.515647736,-0.780576199
2000,7,4,841090000,841090,84,KG,71250,36509,0.512407018,KG,123248,194865,1.581080423,-158356,-1.068673406,-0.684415708,-0.510475193
1997,3,3,841112000,841112,84,KG,2028,235062,115.908284,,,,,235062,115.908284,1,1
1995,3,3,841181000,841181,84,,,,,KG,180,266,1.477777778,-266,-1.477777778,-1,-1
1996,3,3,841181000,841181,84,,,,,KG,36770,529240,14.39325537,-529240,-14.39325537,-1,-1
1997,3,3,841181000,841181,84,,,,,KG,680,7887,11.59852941,-7887,-11.59852941,-1,-1
2000,3,3,841181000,841181,84,,,,,KG,95,6300,66.31578947,-6300,-66.31578947,-1,-1
