year,tech,type,HS,HS6,HS2,export_unit,export_num,export_value,export_average,import_unit,import_num,import_value,import_average,diff_value,average_value,diff_ratio,average_ratio
1995,6,1,381800010,381800,38,KG,253,13096,51.76284585,,,,,13096,51.76284585,1,1
1996,6,1,381800010,381800,38,KG,2056,177011,86.09484436,,,,,177011,86.09484436,1,1
1997,6,1,381800010,381800,38,KG,3856,480012,124.4844398,,,,,480012,124.4844398,1,1
1998,6,1,381800010,381800,38,KG,4683,1797353,383.8037583,,,,,1797353,383.8037583,1,1
1999,6,1,381800010,381800,38,KG,6063,1708844,281.8479301,,,,,1708844,281.8479301,1,1
2000,6,1,381800010,381800,38,KG,10587,647786,61.18692736,,,,,647786,61.18692736,1,1
1997,6,1,381800020,381800,38,KG,0,215,,,,,,215,,1,
1998,6,1,381800020,381800,38,KG,15503,58580,3.778623492,,,,,58580,3.778623492,1,1
1999,6,1,381800020,381800,38,KG,38500,79101,2.054571429,,,,,79101,2.054571429,1,1
2000,6,1,381800020,381800,38,KG,43220,99783,2.308722814,,,,,99783,2.308722814,1,1
1994,6,1,381800100,381800,38,,,,,KG,2458,81971,33.34865745,-81971,-33.34865745,-1,-1
1995,6,1,381800100,381800,38,,,,,KG,5401,221936,41.09164969,-221936,-41.09164969,-1,-1
1996,6,1,381800100,381800,38,,,,,KG,8963,303359,33.84569898,-303359,-33.84569898,-1,-1
1997,6,1,381800100,381800,38,,,,,KG,10384,425739,40.99951849,-425739,-40.99951849,-1,-1
1998,6,1,381800100,381800,38,,,,,KG,10032,625510,62.35147528,-625510,-62.35147528,-1,-1
1999,6,1,381800100,381800,38,,,,,KG,16588,1481618,89.31866409,-1481618,-89.31866409,-1,-1
2000,6,1,381800100,381800,38,,,,,KG,43433,2902525,66.82764258,-2902525,-66.82764258,-1,-1
1994,6,1,381800900,381800,38,,,,,KG,44,71327,1621.068182,-71327,-1621.068182,-1,-1
1995,6,1,381800900,381800,38,,,,,KG,169,129197,764.4792899,-129197,-764.4792899,-1,-1
1996,6,1,381800900,381800,38,,,,,KG,83,94560,1139.277108,-94560,-1139.277108,-1,-1
1997,6,1,381800900,381800,38,,,,,KG,119,193329,1624.613445,-193329,-1624.613445,-1,-1
1998,6,1,381800900,381800,38,,,,,KG,246,199920,812.6829268,-199920,-812.6829268,-1,-1
1999,6,1,381800900,381800,38,,,,,KG,61,184982,3032.491803,-184982,-3032.491803,-1,-1
2000,6,1,381800900,381800,38,,,,,KG,84,246851,2938.702381,-246851,-2938.702381,-1,-1
1994,6,2,401110000,401110,40,,,,,KG,173527,64068,0.369210555,-64068,-0.369210555,-1,-1
1995,6,2,401110000,401110,40,,,,,KG,234438,71164,0.303551472,-71164,-0.303551472,-1,-1
1996,6,2,401110000,401110,40,,,,,KG,33874,15861,0.468235225,-15861,-0.468235225,-1,-1
1997,6,2,401110000,401110,40,,,,,KG,224000,132200,0.590178571,-132200,-0.590178571,-1,-1
1998,6,2,401110000,401110,40,,,,,KG,264968,150359,0.567460976,-150359,-0.567460976,-1,-1
1999,6,2,401110000,401110,40,,,,,KG,129427,73564,0.568382177,-73564,-0.568382177,-1,-1
2000,6,2,401110000,401110,40,,,,,KG,78734,48596,0.617217466,-48596,-0.617217466,-1,-1
1994,6,2,401110010,401110,40,KG,11462,5190,0.452800558,,,,,5190,0.452800558,1,1
1995,6,2,401110010,401110,40,KG,21416,6806,0.317799776,,,,,6806,0.317799776,1,1
1996,6,2,401110010,401110,40,KG,3111,5406,1.737704918,,,,,5406,1.737704918,1,1
1997,6,2,401110010,401110,40,KG,33367,11041,0.330895795,,,,,11041,0.330895795,1,1
1998,6,2,401110010,401110,40,KG,12805,4985,0.389301054,,,,,4985,0.389301054,1,1
1999,6,2,401110010,401110,40,KG,13476,6641,0.492802018,,,,,6641,0.492802018,1,1
2000,6,2,401110010,401110,40,KG,424685,124202,0.292456762,,,,,124202,0.292456762,1,1
1996,6,2,401110090,401110,40,KG,2000,2427,1.2135,,,,,2427,1.2135,1,1
1999,6,2,401110090,401110,40,KG,396,394,0.994949495,,,,,394,0.994949495,1,1
1994,6,2,401120000,401120,40,KG,21210,6092,0.287223008,KG,98066,33022,0.336732405,-26930,-0.049509397,-0.688500281,-0.079347652
1995,6,2,401120000,401120,40,KG,88655,20459,0.230770966,KG,51001,26605,0.521656438,-6146,-0.290885472,-0.130588135,-0.386596063
1996,6,2,401120000,401120,40,KG,45535,12474,0.273943121,KG,55953,21354,0.381641735,-8880,-0.107698614,-0.262504434,-0.164278679
1997,6,2,401120000,401120,40,KG,29261,10001,0.341785995,KG,129504,63468,0.490085248,-53467,-0.148299253,-0.727749119,-0.178271883
1998,6,2,401120000,401120,40,KG,16112,5006,0.310700099,KG,55514,26319,0.474096624,-21313,-0.163396525,-0.680383081,-0.208202354
1999,6,2,401120000,401120,40,KG,357798,80380,0.224651899,KG,242171,104894,0.433140219,-24514,-0.208488321,-0.132312143,-0.316951686
2000,6,2,401120000,401120,40,KG,712518,165100,0.231713444,KG,209679,66642,0.317828681,98458,-0.086115237,0.424860405,-0.156703613
