"","names.best_clu.cluster.","best_clu.cluster"
"1","1",5
"2","2",5
"3","3",5
"4","4",5
"5","5",5
"6","6",5
"7","7",5
"8","8",5
"9","9",5
"10","10",5
"11","11",5
"12","12",5
"13","13",5
"14","14",5
"15","15",3
"16","16",3
"17","17",3
"18","18",3
"19","19",3
"20","20",3
"21","21",3
"22","22",3
"23","23",3
"24","24",3
"25","25",3
"26","26",3
"27","27",3
"28","28",3
"29","29",3
"30","30",3
"31","31",3
"32","32",3
"33","33",3
"34","34",3
"35","35",3
"36","36",5
"37","37",5
"38","38",5
"39","39",5
"40","40",5
"41","41",5
"42","42",5
"43","43",5
"44","44",5
"45","45",5
"46","46",5
"47","47",5
"48","48",5
"49","49",5
"50","50",4
"51","51",2
"52","52",2
"53","53",2
"54","54",1
"55","55",1
"56","56",1
"57","57",1
"58","58",1
"59","59",1
"60","60",1
"61","61",1
"62","62",1
"63","63",1
"64","64",1
"65","65",1
"66","66",1
"67","67",1
"68","68",1
"69","69",1
"70","70",1
"71","71",5
"72","72",5
"73","73",5
"74","74",5
"75","75",5
"76","76",5
"77","77",5
"78","78",3
"79","79",3
"80","80",3
"81","81",3
"82","82",3
"83","83",3
"84","84",3
"85","85",3
"86","86",3
"87","87",3
"88","88",3
"89","89",3
"90","90",3
"91","91",3
"92","92",5
"93","93",5
"94","94",5
"95","95",5
"96","96",5
"97","97",5
"98","98",5
"99","99",5
"100","100",5
"101","101",5
"102","102",5
"103","103",5
"104","104",5
"105","105",5
"106","106",3
"107","107",3
"108","108",3
"109","109",3
"110","110",3
"111","111",3
"112","112",3
"113","113",3
"114","114",3
"115","115",3
"116","116",3
"117","117",3
"118","118",3
"119","119",3
"120","120",3
"121","121",3
"122","122",3
"123","123",3
"124","124",3
"125","125",3
"126","126",3
"127","127",1
"128","128",1
"129","129",1
"130","130",1
"131","131",1
"132","132",1
"133","133",1
"134","134",2
"135","135",1
"136","136",2
"137","137",1
"138","138",2
"139","139",2
"140","140",1
"141","141",1
"142","142",1
"143","143",1
"144","144",1
"145","145",1
"146","146",1
"147","147",1
"148","148",2
"149","149",1
"150","150",1
"151","151",1
"152","152",1
"153","153",1
"154","154",1
"155","155",5
"156","156",5
"157","157",5
"158","158",5
"159","159",5
"160","160",5
"161","161",5
"162","162",3
"163","163",3
"164","164",3
"165","165",3
