year,tech,type,HS,HS6,HS2,export_unit,export_num,export_value,export_average,import_unit,import_num,import_value,import_average,diff_value,average_value,diff_ratio,average_ratio
2001,6,1,381800010,381800,38,KG,5400,232520,43.05925926,,,,,232520,43.05925926,1,1
2002,6,1,381800010,381800,38,KG,10654,480796,45.12821476,,,,,480796,45.12821476,1,1
2003,6,1,381800010,381800,38,KG,40175,1647929,41.01876789,,,,,1647929,41.01876789,1,1
2004,6,1,381800010,381800,38,KG,77659,3805435,49.00185426,,,,,3805435,49.00185426,1,1
2005,6,1,381800010,381800,38,KG,131829,6832178,51.82606255,,,,,6832178,51.82606255,1,1
2006,6,1,381800010,381800,38,KG,103800,8842975,85.19243738,,,,,8842975,85.19243738,1,1
2007,6,1,381800010,381800,38,KG,145932,14728697,100.9284941,,,,,14728697,100.9284941,1,1
2001,6,1,381800020,381800,38,KG,25,581,23.24,,,,,581,23.24,1,1
2002,6,1,381800020,381800,38,KG,32,3540,110.625,,,,,3540,110.625,1,1
2003,6,1,381800020,381800,38,KG,36,5987,166.3055556,,,,,5987,166.3055556,1,1
2004,6,1,381800020,381800,38,KG,722,179746,248.9556787,,,,,179746,248.9556787,1,1
2005,6,1,381800020,381800,38,KG,1178,266279,226.0432937,,,,,266279,226.0432937,1,1
2006,6,1,381800020,381800,38,KG,2459,442418,179.9178528,,,,,442418,179.9178528,1,1
2007,6,1,381800020,381800,38,KG,4634,692433,149.4244713,,,,,692433,149.4244713,1,1
2001,6,1,381800100,381800,38,,,,,KG,29066,2293041,78.89083465,-2293041,-78.89083465,-1,-1
2002,6,1,381800100,381800,38,,,,,KG,36830,3241447,88.01105077,-3241447,-88.01105077,-1,-1
2003,6,1,381800100,381800,38,,,,,KG,47869,4124843,86.16939982,-4124843,-86.16939982,-1,-1
2004,6,1,381800100,381800,38,,,,,KG,85944,7082907,82.41304803,-7082907,-82.41304803,-1,-1
2005,6,1,381800100,381800,38,,,,,KG,104187,8636890,82.89796232,-8636890,-82.89796232,-1,-1
2006,6,1,381800100,381800,38,,,,,KG,349037,21197408,60.7311202,-21197408,-60.7311202,-1,-1
2007,6,1,381800100,381800,38,,,,,KG,612352,37295355,60.90509217,-37295355,-60.90509217,-1,-1
2001,6,1,381800900,381800,38,,,,,KG,619,284474,459.5702746,-284474,-459.5702746,-1,-1
2002,6,1,381800900,381800,38,,,,,KG,255,329401,1291.768627,-329401,-1291.768627,-1,-1
2003,6,1,381800900,381800,38,,,,,KG,356,327133,918.9129213,-327133,-918.9129213,-1,-1
2004,6,1,381800900,381800,38,,,,,KG,417,345359,828.1990408,-345359,-828.1990408,-1,-1
2005,6,1,381800900,381800,38,,,,,KG,1265,417485,330.027668,-417485,-330.027668,-1,-1
2006,6,1,381800900,381800,38,,,,,KG,8764,1056775,120.5813555,-1056775,-120.5813555,-1,-1
2007,6,1,381800900,381800,38,,,,,KG,13895,3524961,253.6855703,-3524961,-253.6855703,-1,-1
2001,6,2,401110000,401110,40,,,,,KG,117621,44409,0.37756013,-44409,-0.37756013,-1,-1
2002,6,2,401110000,401110,40,,,,,KG,28409,13954,0.491182372,-13954,-0.491182372,-1,-1
2003,6,2,401110000,401110,40,,,,,KG,885670,577148,0.651651292,-577148,-0.651651292,-1,-1
2004,6,2,401110000,401110,40,,,,,KG,1919545,906383,0.472186378,-906383,-0.472186378,-1,-1
2005,6,2,401110000,401110,40,,,,,KG,1505253,601380,0.399520878,-601380,-0.399520878,-1,-1
2006,6,2,401110000,401110,40,,,,,KG,5190467,2391799,0.460806128,-2391799,-0.460806128,-1,-1
2007,6,2,401110000,401110,40,,,,,KG,7849807,3995674,0.509015572,-3995674,-0.509015572,-1,-1
2001,6,2,401110010,401110,40,KG,763495,203084,0.265992574,,,,,203084,0.265992574,1,1
2002,6,2,401110010,401110,40,KG,3771268,1064895,0.282370545,,,,,1064895,0.282370545,1,1
2003,6,2,401110010,401110,40,KG,5536646,1371070,0.247635482,,,,,1371070,0.247635482,1,1
2004,6,2,401110010,401110,40,KG,8292176,2314095,0.279069692,,,,,2314095,0.279069692,1,1
2005,6,2,401110010,401110,40,KG,24675878,7875376,0.319152818,,,,,7875376,0.319152818,1,1
2006,6,2,401110010,401110,40,KG,36580011,12933457,0.353566241,,,,,12933457,0.353566241,1,1
2007,6,2,401110010,401110,40,KG,34599229,12856095,0.371571719,,,,,12856095,0.371571719,1,1
2002,6,2,401110090,401110,40,KG,1596,555,0.347744361,,,,,555,0.347744361,1,1
2003,6,2,401110090,401110,40,KG,2300,588,0.255652174,,,,,588,0.255652174,1,1
2004,6,2,401110090,401110,40,KG,123322,32803,0.265994713,,,,,32803,0.265994713,1,1
2005,6,2,401110090,401110,40,KG,13535,5877,0.43420761,,,,,5877,0.43420761,1,1
2006,6,2,401110090,401110,40,KG,29934,10033,0.335170709,,,,,10033,0.335170709,1,1
2007,6,2,401110090,401110,40,KG,73008,31424,0.430418584,,,,,31424,0.430418584,1,1
2001,6,2,401120000,401120,40,KG,1306720,274865,0.210347282,KG,47122,13394,0.284240907,261471,-0.073893625,0.907069684,-0.149404346
2002,6,2,401120000,401120,40,KG,1020631,219105,0.214676019,KG,189053,50100,0.265005051,169005,-0.050329032,0.627792946,-0.104921865
2003,6,2,401120000,401120,40,KG,671878,138975,0.206845588,KG,236696,69284,0.292713016,69691,-0.085867428,0.334636198,-0.171886596
2004,6,2,401120000,401120,40,KG,1419460,277968,0.195826582,KG,444964,109231,0.245482781,168737,-0.049656199,0.435788832,-0.112520157
2005,6,2,401120000,401120,40,KG,1366594,306836,0.224526085,KG,2245632,576770,0.256840836,-269934,-0.032314751,-0.305491362,-0.067131226
2006,6,2,401120000,401120,40,KG,2902505,698688,0.240718965,KG,19360474,5712643,0.295067311,-5013955,-0.054348346,-0.782045881,-0.101436614
2007,6,2,401120000,401120,40,KG,2422547,657771,0.271520429,KG,16034346,4827753,0.301088239,-4169982,-0.02956781,-0.760179337,-0.051637029
2001,6,1,820231000,820231,82,KG,158871,285825,1.799101158,KG,12262,82693,6.743842766,203132,-4.944741609,0.551213238,-0.578810028
2002,6,1,820231000,820231,82,KG,376499,392187,1.041668105,KG,15743,79362,5.041097631,312825,-3.999429525,0.663398714,-0.657501817
2003,6,1,820231000,820231,82,KG,629243,623434,0.990768272,KG,32187,111953,3.478205487,511481,-2.487437214,0.695526301,-0.556601437
2004,6,1,820231000,820231,82,KG,800876,663653,0.828658869,KG,20191,84093,4.16487544,579560,-3.336216571,0.775076028,-0.668107269
2005,6,1,820231000,820231,82,KG,1162373,919408,0.790975014,KG,15985,101012,6.319174226,818396,-5.528199212,0.802018777,-0.777508182
2006,6,1,820231000,820231,82,KG,1529171,1752267,1.145893429,KG,22393,100288,4.478542402,1651979,-3.332648973,0.89173007,-0.592530357
2007,6,1,820231000,820231,82,KG,2022058,2502939,1.23781761,KG,21778,152700,7.011663146,2350239,-5.773845537,0.88499943,-0.699904116
2001,6,1,820239000,820239,82,KG,381793,827629,2.16774273,KG,103572,54480,0.526010891,773149,1.641731839,0.87647785,0.609458796
2002,6,1,820239000,820239,82,KG,551065,1010468,1.833663905,KG,84173,57138,0.678816247,953330,1.154847658,0.892960512,0.45964449
2003,6,1,820239000,820239,82,KG,723020,1044417,1.444520207,KG,10273,51647,5.027450599,992770,-3.582930392,0.905759153,-0.553607317
2004,6,1,820239000,820239,82,KG,1206946,1548862,1.283290222,KG,16413,63215,3.851520136,1485647,-2.568229915,0.921573225,-0.500160617
2005,6,1,820239000,820239,82,KG,1327414,1827174,1.376491434,KG,51516,129405,2.511938039,1697769,-1.135446605,0.867723205,-0.292006481
2006,6,1,820239000,820239,82,KG,1008380,1336980,1.325869216,KG,47585,225789,4.744961648,1111191,-3.419092432,0.711039827,-0.563200081
2007,6,1,820239000,820239,82,KG,939300,1022742,1.088834238,KG,223099,400741,1.796247406,622001,-0.707413168,0.436957097,-0.245196932
2001,6,1,820720000,820720,82,KG,5303,116633,21.99377711,,,,,116633,21.99377711,1,1
2002,6,1,820720000,820720,82,KG,3460,110214,31.85375723,,,,,110214,31.85375723,1,1
2003,6,1,820720000,820720,82,KG,21387,113575,5.310468976,,,,,113575,5.310468976,1,1
2004,6,1,820720000,820720,82,KG,27902,162023,5.806859723,,,,,162023,5.806859723,1,1
2005,6,1,820720000,820720,82,KG,26605,112479,4.227739147,,,,,112479,4.227739147,1,1
2006,6,1,820720000,820720,82,KG,123206,214934,1.744509196,,,,,214934,1.744509196,1,1
2007,6,1,820720000,820720,82,KG,26210,160821,6.135864174,,,,,160821,6.135864174,1,1
2001,6,1,820720200,820720,82,,,,,KG,217,20786,95.78801843,-20786,-95.78801843,-1,-1
2002,6,1,820720200,820720,82,,,,,KG,384,46776,121.8125,-46776,-121.8125,-1,-1
2003,6,1,820720200,820720,82,,,,,KG,1049,121821,116.1306006,-121821,-116.1306006,-1,-1
2004,6,1,820720200,820720,82,,,,,KG,506,96357,190.4288538,-96357,-190.4288538,-1,-1
2005,6,1,820720200,820720,82,,,,,KG,246,44003,178.8739837,-44003,-178.8739837,-1,-1
2006,6,1,820720200,820720,82,,,,,KG,549,78342,142.6994536,-78342,-142.6994536,-1,-1
2007,6,1,820720200,820720,82,,,,,KG,944,116523,123.4353814,-116523,-123.4353814,-1,-1
2001,6,1,820720900,820720,82,,,,,KG,73397,410399,5.591495565,-410399,-5.591495565,-1,-1
2002,6,1,820720900,820720,82,,,,,KG,77848,781796,10.04259583,-781796,-10.04259583,-1,-1
2003,6,1,820720900,820720,82,,,,,KG,208295,1956308,9.392006529,-1956308,-9.392006529,-1,-1
2004,6,1,820720900,820720,82,,,,,KG,148092,1457477,9.841699754,-1457477,-9.841699754,-1,-1
2005,6,1,820720900,820720,82,,,,,KG,208708,1503454,7.203624202,-1503454,-7.203624202,-1,-1
2006,6,1,820720900,820720,82,,,,,KG,284799,1222740,4.293343727,-1222740,-4.293343727,-1,-1
2007,6,1,820720900,820720,82,,,,,KG,142878,1295495,9.067141197,-1295495,-9.067141197,-1,-1
2001,4,4,820750010,820750,82,KG,194575,307365,1.579673648,,,,,307365,1.579673648,1,1
2002,4,4,820750010,820750,82,KG,193905,282474,1.456764911,,,,,282474,1.456764911,1,1
2003,4,4,820750010,820750,82,KG,231837,273446,1.179475235,,,,,273446,1.179475235,1,1
2004,4,4,820750010,820750,82,KG,221359,237182,1.071481169,,,,,237182,1.071481169,1,1
2005,4,4,820750010,820750,82,KG,305930,324918,1.062066486,,,,,324918,1.062066486,1,1
2006,4,4,820750010,820750,82,KG,255083,330475,1.295558701,,,,,330475,1.295558701,1,1
2007,4,4,820750010,820750,82,KG,178838,338742,1.894127646,,,,,338742,1.894127646,1,1
2001,4,4,820750090,820750,82,KG,242888,715684,2.946559731,,,,,715684,2.946559731,1,1
2002,4,4,820750090,820750,82,KG,238339,895936,3.759082651,,,,,895936,3.759082651,1,1
2003,4,4,820750090,820750,82,KG,318964,1076064,3.373622102,,,,,1076064,3.373622102,1,1
2004,4,4,820750090,820750,82,KG,341158,1637453,4.799691052,,,,,1637453,4.799691052,1,1
2005,4,4,820750090,820750,82,KG,479212,3104284,6.477892874,,,,,3104284,6.477892874,1,1
2006,4,4,820750090,820750,82,KG,601692,3866909,6.426724969,,,,,3866909,6.426724969,1,1
2007,4,4,820750090,820750,82,KG,515731,3825095,7.416841338,,,,,3825095,7.416841338,1,1
2001,4,4,820750100,820750,82,,,,,KG,18820,316752,16.83060574,-316752,-16.83060574,-1,-1
2002,4,4,820750100,820750,82,,,,,KG,21397,353026,16.49885498,-353026,-16.49885498,-1,-1
2003,4,4,820750100,820750,82,,,,,KG,31418,584270,18.59666433,-584270,-18.59666433,-1,-1
2004,4,4,820750100,820750,82,,,,,KG,26900,624196,23.20431227,-624196,-23.20431227,-1,-1
2005,4,4,820750100,820750,82,,,,,KG,27511,666696,24.23379739,-666696,-24.23379739,-1,-1
2006,4,4,820750100,820750,82,,,,,KG,40988,959830,23.41734166,-959830,-23.41734166,-1,-1
2007,4,4,820750100,820750,82,,,,,KG,69100,1476198,21.36321274,-1476198,-21.36321274,-1,-1
2001,4,4,820750200,820750,82,,,,,KG,8884,272446,30.66704187,-272446,-30.66704187,-1,-1
2002,4,4,820750200,820750,82,,,,,KG,3251,89552,27.54598585,-89552,-27.54598585,-1,-1
2003,4,4,820750200,820750,82,,,,,KG,6152,120181,19.53527308,-120181,-19.53527308,-1,-1
2004,4,4,820750200,820750,82,,,,,KG,9743,220240,22.60494714,-220240,-22.60494714,-1,-1
2005,4,4,820750200,820750,82,,,,,KG,11716,180856,15.4366678,-180856,-15.4366678,-1,-1
2006,4,4,820750200,820750,82,,,,,KG,16198,304084,18.77293493,-304084,-18.77293493,-1,-1
2007,4,4,820750200,820750,82,,,,,KG,22749,509135,22.3805442,-509135,-22.3805442,-1,-1
2001,4,4,820750900,820750,82,,,,,KG,13188,237012,17.97179254,-237012,-17.97179254,-1,-1
2002,4,4,820750900,820750,82,,,,,KG,18644,252241,13.5293392,-252241,-13.5293392,-1,-1
2003,4,4,820750900,820750,82,,,,,KG,21678,419061,19.33116524,-419061,-19.33116524,-1,-1
2004,4,4,820750900,820750,82,,,,,KG,31015,652755,21.04642915,-652755,-21.04642915,-1,-1
