year,tech,type,HS,HS6,HS2,export_unit,export_num,export_value,export_average,import_unit,import_num,import_value,import_average,diff_value,average_value,diff_ratio,average_ratio
2009,5,1,902131000,902131,90,KG,1894,182716,96.47096093,KG,81,13268,163.8024691,169448,-67.33150821,0.864601192,-0.258695281
2010,5,1,902131000,902131,90,KG,1368,112452,82.20175439,KG,586,89314,152.4129693,23138,-70.2112149,0.114677399,-0.299261759
2011,5,1,902131000,902131,90,KG,796,148765,186.8907035,KG,705,109126,154.7886525,39639,32.10205104,0.153704472,0.093953733
2012,5,1,902131000,902131,90,KG,1047,246302,235.2454632,KG,216,23679,109.625,222623,125.6204632,0.824587656,0.364254051
2013,5,1,902131000,902131,90,KG,1366,290084,212.3601757,KG,159,28895,181.7295597,261189,30.63061595,0.818828199,0.077724978
2014,5,1,902131000,902131,90,KG,2439,331941,136.097171,KG,63,10824,171.8095238,321117,-35.71235284,0.936843027,-0.115984334
2008,5,1,902139000,902139,90,KG,123,1934,15.72357724,KG,1570,238554,151.9452229,-236620,-136.2216457,-0.983916037,-0.812444805
2009,5,1,902139000,902139,90,KG,542,11968,22.08118081,KG,2294,263441,114.8391456,-251473,-92.75796479,-0.91308926,-0.677459419
2010,5,1,902139000,902139,90,KG,546,44076,80.72527473,KG,3292,390669,118.6722357,-346593,-37.946961,-0.797232861,-0.190308098
2011,5,1,902139000,902139,90,KG,1554,126700,81.53153153,KG,4668,535726,114.7656384,-409026,-33.23410686,-0.617466706,-0.169305074
2012,5,1,902139000,902139,90,KG,417,27578,66.13429257,KG,7202,548480,76.15662316,-520902,-10.02233059,-0.904252697,-0.070435492
2013,5,1,902139000,902139,90,KG,443,22636,51.09706546,KG,5740,591599,103.0660279,-568963,-51.96896241,-0.92629531,-0.337103786
2014,5,1,902139000,902139,90,KG,1088,28853,26.51930147,KG,3929,635007,161.6205141,-606154,-135.1012127,-0.913075046,-0.718089428
2008,5,1,902190000,902190,90,KG,5490,79156,14.41821494,KG,3594,20190,5.61769616,58966,8.800518776,0.593541763,0.439237264
2009,5,1,902190000,902190,90,KG,3507,86672,24.71400057,KG,4554,28012,6.151075977,58660,18.56292459,0.511492449,0.601421628
2010,5,1,902190000,902190,90,KG,11549,129229,11.18962681,KG,4943,29302,5.92797896,99927,5.261647847,0.630330976,0.307382231
2011,5,1,902190000,902190,90,KG,15139,285093,18.83169298,KG,6414,39923,6.224352978,245170,12.60734,0.754332094,0.503165584
2012,5,1,902190000,902190,90,KG,24850,382412,15.38881288,KG,458,24872,54.30567686,357540,-38.91686398,0.877864095,-0.558392265
2013,5,1,902190000,902190,90,KG,18842,428975,22.7669568,KG,785,22783,29.02292994,406192,-6.255973138,0.899136263,-0.120795266
2014,5,1,902190000,902190,90,KG,41506,456247,10.99231436,KG,382,35246,92.26701571,421001,-81.27470134,0.85657578,-0.787093053
2008,5,4,902212000,902212,90,NO,251,3005639,,NO,7966,4548558,,-1542919,,-0.204246593,
2009,5,4,902212000,902212,90,NO,231,2198100,,NO,521,8116809,,-5918709,,-0.573801378,
2010,5,4,902212000,902212,90,NO,228,3147378,,NO,791,11503058,,-8355680,,-0.57033661,
2011,5,4,902212000,902212,90,NO,137,1849676,,NO,581,10374633,,-8524957,,-0.697377414,
2012,5,4,902212000,902212,90,NO,182,3094244,,NO,584,11697249,,-8603005,,-0.581618434,
2013,5,4,902212000,902212,90,NO,368,4995307,,NO,173,8347167,,-3351860,,-0.251217278,
