year,tech,type,HS,HS6,HS2,export_unit,export_num,export_value,export_average,import_unit,import_num,import_value,import_average,diff_value,diff_ratio,average_value,average_ratio
1995,6,1,381800010,381800,38,KG,253,13096,51.76284585,,,,,13096,1,51.76284585,1
1996,6,1,381800010,381800,38,KG,2056,177011,86.09484436,,,,,177011,1,86.09484436,1
1997,6,1,381800010,381800,38,KG,3856,480012,124.4844398,,,,,480012,1,124.4844398,1
1998,6,1,381800010,381800,38,KG,4683,1797353,383.8037583,,,,,1797353,1,383.8037583,1
1999,6,1,381800010,381800,38,KG,6063,1708844,281.8479301,,,,,1708844,1,281.8479301,1
2000,6,1,381800010,381800,38,KG,10587,647786,61.18692736,,,,,647786,1,61.18692736,1
2001,6,1,381800010,381800,38,KG,5400,232520,43.05925926,,,,,232520,1,43.05925926,1
2002,6,1,381800010,381800,38,KG,10654,480796,45.12821476,,,,,480796,1,45.12821476,1
2003,6,1,381800010,381800,38,KG,40175,1647929,41.01876789,,,,,1647929,1,41.01876789,1
2004,6,1,381800010,381800,38,KG,77659,3805435,49.00185426,,,,,3805435,1,49.00185426,1
2005,6,1,381800010,381800,38,KG,131829,6832178,51.82606255,,,,,6832178,1,51.82606255,1
2006,6,1,381800010,381800,38,KG,103800,8842975,85.19243738,,,,,8842975,1,85.19243738,1
2007,6,1,381800010,381800,38,KG,145932,14728697,100.9284941,,,,,14728697,1,100.9284941,1
2008,6,1,381800010,381800,38,KG,97652,8170833,83.67297137,,,,,8170833,1,83.67297137,1
2009,6,1,381800010,381800,38,KG,86132,5549809,64.43376445,,,,,5549809,1,64.43376445,1
2010,6,1,381800010,381800,38,KG,276541,11640773,42.09420303,,,,,11640773,1,42.09420303,1
2011,6,1,381800010,381800,38,KG,385000,13750217,35.71484935,,,,,13750217,1,35.71484935,1
2012,6,1,381800010,381800,38,KG,489867,11505062,23.48609316,,,,,11505062,1,23.48609316,1
2013,6,1,381800010,381800,38,KG,652177,14926374,22.88699847,,,,,14926374,1,22.88699847,1
2014,6,1,381800010,381800,38,KG,710914,17404054,24.48123683,,,,,17404054,1,24.48123683,1
1997,6,1,381800020,381800,38,KG,0,215,,,,,,215,1,,
1998,6,1,381800020,381800,38,KG,15503,58580,3.778623492,,,,,58580,1,3.778623492,1
1999,6,1,381800020,381800,38,KG,38500,79101,2.054571429,,,,,79101,1,2.054571429,1
2000,6,1,381800020,381800,38,KG,43220,99783,2.308722814,,,,,99783,1,2.308722814,1
2001,6,1,381800020,381800,38,KG,25,581,23.24,,,,,581,1,23.24,1
2002,6,1,381800020,381800,38,KG,32,3540,110.625,,,,,3540,1,110.625,1
2003,6,1,381800020,381800,38,KG,36,5987,166.3055556,,,,,5987,1,166.3055556,1
2004,6,1,381800020,381800,38,KG,722,179746,248.9556787,,,,,179746,1,248.9556787,1
2005,6,1,381800020,381800,38,KG,1178,266279,226.0432937,,,,,266279,1,226.0432937,1
2006,6,1,381800020,381800,38,KG,2459,442418,179.9178528,,,,,442418,1,179.9178528,1
2007,6,1,381800020,381800,38,KG,4634,692433,149.4244713,,,,,692433,1,149.4244713,1
2008,6,1,381800020,381800,38,KG,5657,968711,171.2411172,,,,,968711,1,171.2411172,1
2009,6,1,381800020,381800,38,KG,6130,721212,117.6528548,,,,,721212,1,117.6528548,1
2010,6,1,381800020,381800,38,KG,7158,969755,135.4784856,,,,,969755,1,135.4784856,1
2011,6,1,381800020,381800,38,KG,7073,831277,117.5282059,,,,,831277,1,117.5282059,1
2012,6,1,381800020,381800,38,KG,6828,1157086,169.4619215,,,,,1157086,1,169.4619215,1
2013,6,1,381800020,381800,38,KG,12229,1716289,140.3458173,,,,,1716289,1,140.3458173,1
2014,6,1,381800020,381800,38,KG,24309,2610669,107.3951623,,,,,2610669,1,107.3951623,1
1994,6,1,381800100,381800,38,,,,,KG,2458,81971,33.34865745,-81971,-1,-33.34865745,-1
1995,6,1,381800100,381800,38,,,,,KG,5401,221936,41.09164969,-221936,-1,-41.09164969,-1
1996,6,1,381800100,381800,38,,,,,KG,8963,303359,33.84569898,-303359,-1,-33.84569898,-1
1997,6,1,381800100,381800,38,,,,,KG,10384,425739,40.99951849,-425739,-1,-40.99951849,-1
1998,6,1,381800100,381800,38,,,,,KG,10032,625510,62.35147528,-625510,-1,-62.35147528,-1
1999,6,1,381800100,381800,38,,,,,KG,16588,1481618,89.31866409,-1481618,-1,-89.31866409,-1
2000,6,1,381800100,381800,38,,,,,KG,43433,2902525,66.82764258,-2902525,-1,-66.82764258,-1
2001,6,1,381800100,381800,38,,,,,KG,29066,2293041,78.89083465,-2293041,-1,-78.89083465,-1
2002,6,1,381800100,381800,38,,,,,KG,36830,3241447,88.01105077,-3241447,-1,-88.01105077,-1
2003,6,1,381800100,381800,38,,,,,KG,47869,4124843,86.16939982,-4124843,-1,-86.16939982,-1
2004,6,1,381800100,381800,38,,,,,KG,85944,7082907,82.41304803,-7082907,-1,-82.41304803,-1
2005,6,1,381800100,381800,38,,,,,KG,104187,8636890,82.89796232,-8636890,-1,-82.89796232,-1
2006,6,1,381800100,381800,38,,,,,KG,349037,21197408,60.7311202,-21197408,-1,-60.7311202,-1
2007,6,1,381800100,381800,38,,,,,KG,612352,37295355,60.90509217,-37295355,-1,-60.90509217,-1
2008,6,1,381800100,381800,38,,,,,KG,742478,33037541,44.49632312,-33037541,-1,-44.49632312,-1
2009,6,1,381800100,381800,38,,,,,KG,525373,19861397,37.80437327,-19861397,-1,-37.80437327,-1
2010,6,1,381800100,381800,38,,,,,KG,990017,34452948,34.80035999,-34452948,-1,-34.80035999,-1
2011,6,1,381800100,381800,38,,,,,KG,747361,24216122,32.40217512,-24216122,-1,-32.40217512,-1
2012,6,1,381800100,381800,38,,,,,KG,415466,13912125,33.48559208,-13912125,-1,-33.48559208,-1
2013,6,1,381800100,381800,38,,,,,KG,337278,15466108,45.85566802,-15466108,-1,-45.85566802,-1
2014,6,1,381800100,381800,38,,,,,KG,406675,20859286,51.29227516,-20859286,-1,-51.29227516,-1
1994,6,1,381800900,381800,38,,,,,KG,44,71327,1621.068182,-71327,-1,-1621.068182,-1
1995,6,1,381800900,381800,38,,,,,KG,169,129197,764.4792899,-129197,-1,-764.4792899,-1
1996,6,1,381800900,381800,38,,,,,KG,83,94560,1139.277108,-94560,-1,-1139.277108,-1
1997,6,1,381800900,381800,38,,,,,KG,119,193329,1624.613445,-193329,-1,-1624.613445,-1
1998,6,1,381800900,381800,38,,,,,KG,246,199920,812.6829268,-199920,-1,-812.6829268,-1
1999,6,1,381800900,381800,38,,,,,KG,61,184982,3032.491803,-184982,-1,-3032.491803,-1
2000,6,1,381800900,381800,38,,,,,KG,84,246851,2938.702381,-246851,-1,-2938.702381,-1
2001,6,1,381800900,381800,38,,,,,KG,619,284474,459.5702746,-284474,-1,-459.5702746,-1
2002,6,1,381800900,381800,38,,,,,KG,255,329401,1291.768627,-329401,-1,-1291.768627,-1
2003,6,1,381800900,381800,38,,,,,KG,356,327133,918.9129213,-327133,-1,-918.9129213,-1
2004,6,1,381800900,381800,38,,,,,KG,417,345359,828.1990408,-345359,-1,-828.1990408,-1
2005,6,1,381800900,381800,38,,,,,KG,1265,417485,330.027668,-417485,-1,-330.027668,-1
2006,6,1,381800900,381800,38,,,,,KG,8764,1056775,120.5813555,-1056775,-1,-120.5813555,-1
2007,6,1,381800900,381800,38,,,,,KG,13895,3524961,253.6855703,-3524961,-1,-253.6855703,-1
2008,6,1,381800900,381800,38,,,,,KG,12627,5074015,401.8385206,-5074015,-1,-401.8385206,-1
2009,6,1,381800900,381800,38,,,,,KG,6097,2893711,474.6122683,-2893711,-1,-474.6122683,-1
2010,6,1,381800900,381800,38,,,,,KG,6388,3411550,534.0560426,-3411550,-1,-534.0560426,-1
2011,6,1,381800900,381800,38,,,,,KG,2965,1861608,627.8610455,-1861608,-1,-627.8610455,-1
2012,6,1,381800900,381800,38,,,,,KG,14028,2216999,158.0409894,-2216999,-1,-158.0409894,-1
2013,6,1,381800900,381800,38,,,,,KG,29816,2742603,91.98427019,-2742603,-1,-91.98427019,-1
2014,6,1,381800900,381800,38,,,,,KG,20498,2055128,100.2599278,-2055128,-1,-100.2599278,-1
1994,6,2,401110000,401110,40,,,,,KG,173527,64068,0.369210555,-64068,-1,-0.369210555,-1
1995,6,2,401110000,401110,40,,,,,KG,234438,71164,0.303551472,-71164,-1,-0.303551472,-1
1996,6,2,401110000,401110,40,,,,,KG,33874,15861,0.468235225,-15861,-1,-0.468235225,-1
1997,6,2,401110000,401110,40,,,,,KG,224000,132200,0.590178571,-132200,-1,-0.590178571,-1
1998,6,2,401110000,401110,40,,,,,KG,264968,150359,0.567460976,-150359,-1,-0.567460976,-1
1999,6,2,401110000,401110,40,,,,,KG,129427,73564,0.568382177,-73564,-1,-0.568382177,-1
2000,6,2,401110000,401110,40,,,,,KG,78734,48596,0.617217466,-48596,-1,-0.617217466,-1
2001,6,2,401110000,401110,40,,,,,KG,117621,44409,0.37756013,-44409,-1,-0.37756013,-1
2002,6,2,401110000,401110,40,,,,,KG,28409,13954,0.491182372,-13954,-1,-0.491182372,-1
2003,6,2,401110000,401110,40,,,,,KG,885670,577148,0.651651292,-577148,-1,-0.651651292,-1
2004,6,2,401110000,401110,40,,,,,KG,1919545,906383,0.472186378,-906383,-1,-0.472186378,-1
2005,6,2,401110000,401110,40,,,,,KG,1505253,601380,0.399520878,-601380,-1,-0.399520878,-1
2006,6,2,401110000,401110,40,,,,,KG,5190467,2391799,0.460806128,-2391799,-1,-0.460806128,-1
2007,6,2,401110000,401110,40,,,,,KG,7849807,3995674,0.509015572,-3995674,-1,-0.509015572,-1
2008,6,2,401110000,401110,40,,,,,KG,9834110,5144235,0.523101226,-5144235,-1,-0.523101226,-1
2009,6,2,401110000,401110,40,,,,,KG,7862961,3937088,0.500713154,-3937088,-1,-0.500713154,-1
2010,6,2,401110000,401110,40,,,,,KG,13156897,6325133,0.480746562,-6325133,-1,-0.480746562,-1
2011,6,2,401110000,401110,40,,,,,KG,20728540,9919073,0.478522511,-9919073,-1,-0.478522511,-1
2012,6,2,401110000,401110,40,,,,,KG,14007071,7254495,0.517916629,-7254495,-1,-0.517916629,-1
2013,6,2,401110000,401110,40,,,,,KG,14313553,9138288,0.638436033,-9138288,-1,-0.638436033,-1
2014,6,2,401110000,401110,40,,,,,KG,16920229,10329419,0.610477494,-10329419,-1,-0.610477494,-1
1994,6,2,401110010,401110,40,KG,11462,5190,0.452800558,,,,,5190,1,0.452800558,1
1995,6,2,401110010,401110,40,KG,21416,6806,0.317799776,,,,,6806,1,0.317799776,1
1996,6,2,401110010,401110,40,KG,3111,5406,1.737704918,,,,,5406,1,1.737704918,1
1997,6,2,401110010,401110,40,KG,33367,11041,0.330895795,,,,,11041,1,0.330895795,1
1998,6,2,401110010,401110,40,KG,12805,4985,0.389301054,,,,,4985,1,0.389301054,1
1999,6,2,401110010,401110,40,KG,13476,6641,0.492802018,,,,,6641,1,0.492802018,1
2000,6,2,401110010,401110,40,KG,424685,124202,0.292456762,,,,,124202,1,0.292456762,1
2001,6,2,401110010,401110,40,KG,763495,203084,0.265992574,,,,,203084,1,0.265992574,1
2002,6,2,401110010,401110,40,KG,3771268,1064895,0.282370545,,,,,1064895,1,0.282370545,1
2003,6,2,401110010,401110,40,KG,5536646,1371070,0.247635482,,,,,1371070,1,0.247635482,1
2004,6,2,401110010,401110,40,KG,8292176,2314095,0.279069692,,,,,2314095,1,0.279069692,1
2005,6,2,401110010,401110,40,KG,24675878,7875376,0.319152818,,,,,7875376,1,0.319152818,1
2006,6,2,401110010,401110,40,KG,36580011,12933457,0.353566241,,,,,12933457,1,0.353566241,1
2007,6,2,401110010,401110,40,KG,34599229,12856095,0.371571719,,,,,12856095,1,0.371571719,1
2008,6,2,401110010,401110,40,KG,23075738,8941124,0.387468604,,,,,8941124,1,0.387468604,1
2009,6,2,401110010,401110,40,KG,17963514,6940216,0.386350688,,,,,6940216,1,0.386350688,1
2010,6,2,401110010,401110,40,KG,22065699,7694142,0.348692421,,,,,7694142,1,0.348692421,1
2011,6,2,401110010,401110,40,KG,30973069,11941687,0.385550654,,,,,11941687,1,0.385550654,1
2012,6,2,401110010,401110,40,KG,35875253,14488458,0.403856608,,,,,14488458,1,0.403856608,1
2013,6,2,401110010,401110,40,KG,36743433,16604239,0.451896778,,,,,16604239,1,0.451896778,1
2014,6,2,401110010,401110,40,KG,35194860,16539949,0.469953539,,,,,16539949,1,0.469953539,1
1996,6,2,401110090,401110,40,KG,2000,2427,1.2135,,,,,2427,1,1.2135,1
1999,6,2,401110090,401110,40,KG,396,394,0.994949495,,,,,394,1,0.994949495,1
2002,6,2,401110090,401110,40,KG,1596,555,0.347744361,,,,,555,1,0.347744361,1
2003,6,2,401110090,401110,40,KG,2300,588,0.255652174,,,,,588,1,0.255652174,1
2004,6,2,401110090,401110,40,KG,123322,32803,0.265994713,,,,,32803,1,0.265994713,1
2005,6,2,401110090,401110,40,KG,13535,5877,0.43420761,,,,,5877,1,0.43420761,1
2006,6,2,401110090,401110,40,KG,29934,10033,0.335170709,,,,,10033,1,0.335170709,1
2007,6,2,401110090,401110,40,KG,73008,31424,0.430418584,,,,,31424,1,0.430418584,1
2008,6,2,401110090,401110,40,KG,83861,34035,0.405850157,,,,,34035,1,0.405850157,1
2009,6,2,401110090,401110,40,KG,147820,61773,0.417893384,,,,,61773,1,0.417893384,1
2010,6,2,401110090,401110,40,KG,194035,66450,0.342463988,,,,,66450,1,0.342463988,1
2011,6,2,401110090,401110,40,KG,287113,108065,0.376384908,,,,,108065,1,0.376384908,1
2012,6,2,401110090,401110,40,KG,67084,29369,0.437794407,,,,,29369,1,0.437794407,1
2013,6,2,401110090,401110,40,KG,212602,124772,0.58688065,,,,,124772,1,0.58688065,1
2014,6,2,401110090,401110,40,KG,70107,40609,0.579243157,,,,,40609,1,0.579243157,1
1994,6,2,401120000,401120,40,KG,21210,6092,0.287223008,KG,98066,33022,0.336732405,-26930,-0.688500281,-0.049509397,-0.079347652
1995,6,2,401120000,401120,40,KG,88655,20459,0.230770966,KG,51001,26605,0.521656438,-6146,-0.130588135,-0.290885472,-0.386596063
1996,6,2,401120000,401120,40,KG,45535,12474,0.273943121,KG,55953,21354,0.381641735,-8880,-0.262504434,-0.107698614,-0.164278679
1997,6,2,401120000,401120,40,KG,29261,10001,0.341785995,KG,129504,63468,0.490085248,-53467,-0.727749119,-0.148299253,-0.178271883
1998,6,2,401120000,401120,40,KG,16112,5006,0.310700099,KG,55514,26319,0.474096624,-21313,-0.680383081,-0.163396525,-0.208202354
1999,6,2,401120000,401120,40,KG,357798,80380,0.224651899,KG,242171,104894,0.433140219,-24514,-0.132312143,-0.208488321,-0.316951686
2000,6,2,401120000,401120,40,KG,712518,165100,0.231713444,KG,209679,66642,0.317828681,98458,0.424860405,-0.086115237,-0.156703613
2001,6,2,401120000,401120,40,KG,1306720,274865,0.210347282,KG,47122,13394,0.284240907,261471,0.907069684,-0.073893625,-0.149404346
2002,6,2,401120000,401120,40,KG,1020631,219105,0.214676019,KG,189053,50100,0.265005051,169005,0.627792946,-0.050329032,-0.104921865
2003,6,2,401120000,401120,40,KG,671878,138975,0.206845588,KG,236696,69284,0.292713016,69691,0.334636198,-0.085867428,-0.171886596
2004,6,2,401120000,401120,40,KG,1419460,277968,0.195826582,KG,444964,109231,0.245482781,168737,0.435788832,-0.049656199,-0.112520157
2005,6,2,401120000,401120,40,KG,1366594,306836,0.224526085,KG,2245632,576770,0.256840836,-269934,-0.305491362,-0.032314751,-0.067131226
2006,6,2,401120000,401120,40,KG,2902505,698688,0.240718965,KG,19360474,5712643,0.295067311,-5013955,-0.782045881,-0.054348346,-0.101436614
2007,6,2,401120000,401120,40,KG,2422547,657771,0.271520429,KG,16034346,4827753,0.301088239,-4169982,-0.760179337,-0.02956781,-0.051637029
2008,6,2,401120000,401120,40,KG,1863292,558870,0.299936886,KG,11336244,3513636,0.309947104,-2954766,-0.725539999,-0.010010218,-0.016413315
2009,6,2,401120000,401120,40,KG,1574368,517089,0.32844227,KG,2802198,931200,0.332310565,-414111,-0.285931192,-0.003868295,-0.005854375
2010,6,2,401120000,401120,40,KG,2311648,756048,0.327060175,KG,2569811,862586,0.335661261,-106538,-0.065819697,-0.008601085,-0.012978433
2011,6,2,401120000,401120,40,KG,4541307,1557366,0.342933433,KG,4936276,1543487,0.312682476,13879,0.004475865,0.030250957,0.04614128
2012,6,2,401120000,401120,40,KG,9149766,2984194,0.326149762,KG,1931341,674255,0.349112353,2309939,0.631398442,-0.022962591,-0.034005448
2013,6,2,401120000,401120,40,KG,6557707,2070257,0.315698307,KG,913576,377457,0.413164313,1692800,0.691584066,-0.097466005,-0.133723424
2014,6,2,401120000,401120,40,KG,18705271,7189743,0.384369892,KG,1518065,566225,0.372991275,6623518,0.853989857,0.011378617,0.01502403
1994,6,1,820231000,820231,82,NO,800,554,,NO,16934,40176,,-39622,-0.972796465,,
1995,6,1,820231000,820231,82,NO,36356,9688,,NO,31812,36791,,-27103,-0.583123561,,
1996,6,1,820231000,820231,82,KG,125008,192024,1.53609369,KG,39262,50870,1.295654832,141154,0.581134157,0.240438858,0.084908267
1997,6,1,820231000,820231,82,KG,271096,532715,1.965041904,KG,25441,95687,3.761133603,437028,0.695459276,-1.796091699,-0.313663404
1998,6,1,820231000,820231,82,KG,171356,329415,1.922401317,KG,15549,97094,6.244388707,232321,0.544703629,-4.32198739,-0.529214952
1999,6,1,820231000,820231,82,KG,241880,298080,1.232346618,KG,20213,89138,4.409934201,208942,0.539597849,-3.177587583,-0.563174306
2000,6,1,820231000,820231,82,KG,205519,324417,1.578525586,KG,11240,74204,6.601779359,250213,0.627696484,-5.023253773,-0.614066811
2001,6,1,820231000,820231,82,KG,158871,285825,1.799101158,KG,12262,82693,6.743842766,203132,0.551213238,-4.944741609,-0.578810028
2002,6,1,820231000,820231,82,KG,376499,392187,1.041668105,KG,15743,79362,5.041097631,312825,0.663398714,-3.999429525,-0.657501817
2003,6,1,820231000,820231,82,KG,629243,623434,0.990768272,KG,32187,111953,3.478205487,511481,0.695526301,-2.487437214,-0.556601437
2004,6,1,820231000,820231,82,KG,800876,663653,0.828658869,KG,20191,84093,4.16487544,579560,0.775076028,-3.336216571,-0.668107269
2005,6,1,820231000,820231,82,KG,1162373,919408,0.790975014,KG,15985,101012,6.319174226,818396,0.802018777,-5.528199212,-0.777508182
2006,6,1,820231000,820231,82,KG,1529171,1752267,1.145893429,KG,22393,100288,4.478542402,1651979,0.89173007,-3.332648973,-0.592530357
2007,6,1,820231000,820231,82,KG,2022058,2502939,1.23781761,KG,21778,152700,7.011663146,2350239,0.88499943,-5.773845537,-0.699904116
2008,6,1,820231000,820231,82,KG,1892988,2459189,1.299104379,KG,35148,247282,7.035450097,2211907,0.8172661,-5.736345718,-0.68826063
2009,6,1,820231000,820231,82,KG,1782816,1943913,1.090360979,KG,36320,189397,5.21467511,1754516,0.82243837,-4.124314131,-0.654130139
2010,6,1,820231000,820231,82,KG,1942015,2040762,1.050847702,KG,77984,332833,4.267965224,1707929,0.719553673,-3.217117522,-0.604856303
2011,6,1,820231000,820231,82,KG,1873063,2130257,1.137311986,KG,132519,440435,3.32356115,1689822,0.657341292,-2.186249164,-0.49009445
2012,6,1,820231000,820231,82,KG,2144143,2379227,1.109640075,KG,105035,391954,3.731651354,1987273,0.717121328,-2.622011279,-0.541593357
2013,6,1,820231000,820231,82,KG,2395804,2841628,1.186085339,KG,107487,520640,4.843748546,2320988,0.690304283,-3.657663207,-0.606594357
2014,6,1,820231000,820231,82,KG,2463412,3215807,1.305428,KG,119854,514842,4.295576284,2700965,0.723993332,-2.990148285,-0.53385931
1996,6,1,820239000,820239,82,KG,83518,123937,1.483955554,KG,25868,49782,1.924462657,74155,0.426867527,-0.440507102,-0.129240919
1997,6,1,820239000,820239,82,KG,72579,121180,1.669628956,KG,45362,24112,0.531546228,97068,0.66808909,1.138082728,0.517034144
1998,6,1,820239000,820239,82,KG,202188,450411,2.227684136,KG,69696,46036,0.660525712,404375,0.814538108,1.567158424,0.542605457
1999,6,1,820239000,820239,82,KG,250865,513848,2.048304865,KG,78085,106143,1.359326375,407705,0.657598255,0.68897849,0.202186927
2000,6,1,820239000,820239,82,KG,391241,741875,1.896209753,KG,77148,64743,0.839205164,677132,0.83947048,1.057004589,0.38641472
2001,6,1,820239000,820239,82,KG,381793,827629,2.16774273,KG,103572,54480,0.526010891,773149,0.87647785,1.641731839,0.609458796
2002,6,1,820239000,820239,82,KG,551065,1010468,1.833663905,KG,84173,57138,0.678816247,953330,0.892960512,1.154847658,0.45964449
2003,6,1,820239000,820239,82,KG,723020,1044417,1.444520207,KG,10273,51647,5.027450599,992770,0.905759153,-3.582930392,-0.553607317
2004,6,1,820239000,820239,82,KG,1206946,1548862,1.283290222,KG,16413,63215,3.851520136,1485647,0.921573225,-2.568229915,-0.500160617
2005,6,1,820239000,820239,82,KG,1327414,1827174,1.376491434,KG,51516,129405,2.511938039,1697769,0.867723205,-1.135446605,-0.292006481
2006,6,1,820239000,820239,82,KG,1008380,1336980,1.325869216,KG,47585,225789,4.744961648,1111191,0.711039827,-3.419092432,-0.563200081
2007,6,1,820239000,820239,82,KG,939300,1022742,1.088834238,KG,223099,400741,1.796247406,622001,0.436957097,-0.707413168,-0.245196932
2008,6,1,820239000,820239,82,KG,893656,976788,1.093024609,KG,197781,331060,1.673871605,645728,0.493733217,-0.580846996,-0.20992728
2009,6,1,820239000,820239,82,KG,831758,711319,0.855199469,KG,177012,190316,1.075158746,521003,0.577842475,-0.219959277,-0.113947388
2010,6,1,820239000,820239,82,KG,998440,841312,0.842626497,KG,220001,223846,1.017477193,617466,0.57969428,-0.174850696,-0.09400051
2011,6,1,820239000,820239,82,KG,1251739,1236036,0.987455053,KG,350010,325966,0.93130482,910070,0.582630496,0.056150233,0.029263814
2012,6,1,820239000,820239,82,KG,1112611,1153854,1.037068661,KG,206347,270902,1.312846807,882952,0.619721552,-0.275778146,-0.117356624
2013,6,1,820239000,820239,82,KG,1336717,1384809,1.035977698,KG,270107,325453,1.204903982,1059356,0.619411529,-0.168926285,-0.075383848
2014,6,1,820239000,820239,82,KG,1175205,1362025,1.15896801,KG,315229,416966,1.322739976,945059,0.531233154,-0.163771966,-0.065991635
1994,6,1,820720000,820720,82,KG,12446,31527,2.533103005,,,,,31527,1,2.533103005,1
1995,6,1,820720000,820720,82,KG,3095,24446,7.898546042,,,,,24446,1,7.898546042,1
1996,6,1,820720000,820720,82,KG,1792,36354,20.28683036,,,,,36354,1,20.28683036,1
1997,6,1,820720000,820720,82,KG,8589,129324,15.05693329,,,,,129324,1,15.05693329,1
1998,6,1,820720000,820720,82,KG,6182,154888,25.05467486,,,,,154888,1,25.05467486,1
1999,6,1,820720000,820720,82,KG,4741,174368,36.77873866,,,,,174368,1,36.77873866,1
2000,6,1,820720000,820720,82,KG,5469,147154,26.90692997,,,,,147154,1,26.90692997,1
2001,6,1,820720000,820720,82,KG,5303,116633,21.99377711,,,,,116633,1,21.99377711,1
2002,6,1,820720000,820720,82,KG,3460,110214,31.85375723,,,,,110214,1,31.85375723,1
2003,6,1,820720000,820720,82,KG,21387,113575,5.310468976,,,,,113575,1,5.310468976,1
2004,6,1,820720000,820720,82,KG,27902,162023,5.806859723,,,,,162023,1,5.806859723,1
2005,6,1,820720000,820720,82,KG,26605,112479,4.227739147,,,,,112479,1,4.227739147,1
2006,6,1,820720000,820720,82,KG,123206,214934,1.744509196,,,,,214934,1,1.744509196,1
2007,6,1,820720000,820720,82,KG,26210,160821,6.135864174,,,,,160821,1,6.135864174,1
2008,6,1,820720000,820720,82,KG,28614,257048,8.983294891,,,,,257048,1,8.983294891,1
2009,6,1,820720000,820720,82,KG,67327,290101,4.30883598,,,,,290101,1,4.30883598,1
2010,6,1,820720000,820720,82,KG,92909,439212,4.72733535,,,,,439212,1,4.72733535,1
2011,6,1,820720000,820720,82,KG,51559,354322,6.872165868,,,,,354322,1,6.872165868,1
2012,6,1,820720000,820720,82,KG,87555,613861,7.011147279,,,,,613861,1,7.011147279,1
2013,6,1,820720000,820720,82,KG,67609,598785,8.856587141,,,,,598785,1,8.856587141,1
2014,6,1,820720000,820720,82,KG,81501,1025536,12.58310941,,,,,1025536,1,12.58310941,1
1994,6,1,820720100,820720,82,,,,,KG,28,4325,154.4642857,-4325,-1,-154.4642857,-1
1995,6,1,820720100,820720,82,,,,,KG,156,5509,35.31410256,-5509,-1,-35.31410256,-1
1996,6,1,820720100,820720,82,,,,,KG,498,8946,17.96385542,-8946,-1,-17.96385542,-1
1997,6,1,820720100,820720,82,,,,,KG,897,10098,11.25752508,-10098,-1,-11.25752508,-1
1998,6,1,820720100,820720,82,,,,,KG,833,27249,32.71188475,-27249,-1,-32.71188475,-1
1999,6,1,820720100,820720,82,,,,,KG,347,12985,37.42074928,-12985,-1,-37.42074928,-1
2000,6,1,820720100,820720,82,,,,,KG,1508,49830,33.04376658,-49830,-1,-33.04376658,-1
1994,6,1,820720200,820720,82,,,,,KG,594,7512,12.64646465,-7512,-1,-12.64646465,-1
1995,6,1,820720200,820720,82,,,,,KG,1443,53017,36.74081774,-53017,-1,-36.74081774,-1
1996,6,1,820720200,820720,82,,,,,KG,559,12248,21.91055456,-12248,-1,-21.91055456,-1
1997,6,1,820720200,820720,82,,,,,KG,134,4024,30.02985075,-4024,-1,-30.02985075,-1
1998,6,1,820720200,820720,82,,,,,KG,137,7493,54.69343066,-7493,-1,-54.69343066,-1
1999,6,1,820720200,820720,82,,,,,KG,2039,32578,15.97743992,-32578,-1,-15.97743992,-1
2000,6,1,820720200,820720,82,,,,,KG,426,21593,50.68779343,-21593,-1,-50.68779343,-1
2001,6,1,820720200,820720,82,,,,,KG,217,20786,95.78801843,-20786,-1,-95.78801843,-1
2002,6,1,820720200,820720,82,,,,,KG,384,46776,121.8125,-46776,-1,-121.8125,-1
2003,6,1,820720200,820720,82,,,,,KG,1049,121821,116.1306006,-121821,-1,-116.1306006,-1
2004,6,1,820720200,820720,82,,,,,KG,506,96357,190.4288538,-96357,-1,-190.4288538,-1
2005,6,1,820720200,820720,82,,,,,KG,246,44003,178.8739837,-44003,-1,-178.8739837,-1
2006,6,1,820720200,820720,82,,,,,KG,549,78342,142.6994536,-78342,-1,-142.6994536,-1
2007,6,1,820720200,820720,82,,,,,KG,944,116523,123.4353814,-116523,-1,-123.4353814,-1
2008,6,1,820720200,820720,82,,,,,KG,1402,160209,114.2717546,-160209,-1,-114.2717546,-1
2009,6,1,820720200,820720,82,,,,,KG,422,64156,152.028436,-64156,-1,-152.028436,-1
2010,6,1,820720200,820720,82,,,,,KG,1846,188305,102.0070423,-188305,-1,-102.0070423,-1
2011,6,1,820720200,820720,82,,,,,KG,2069,282649,136.6114065,-282649,-1,-136.6114065,-1
2012,6,1,820720200,820720,82,,,,,KG,673,68846,102.2971768,-68846,-1,-102.2971768,-1
2013,6,1,820720200,820720,82,,,,,KG,2094,92058,43.96275072,-92058,-1,-43.96275072,-1
2014,6,1,820720200,820720,82,,,,,KG,2799,173962,62.15148267,-173962,-1,-62.15148267,-1
1994,6,1,820720900,820720,82,,,,,KG,12435,151467,12.18069964,-151467,-1,-12.18069964,-1
1995,6,1,820720900,820720,82,,,,,KG,23777,175818,7.394456828,-175818,-1,-7.394456828,-1
1996,6,1,820720900,820720,82,,,,,KG,39914,341256,8.549782031,-341256,-1,-8.549782031,-1
1997,6,1,820720900,820720,82,,,,,KG,15494,149962,9.678714341,-149962,-1,-9.678714341,-1
1998,6,1,820720900,820720,82,,,,,KG,12731,184059,14.45754458,-184059,-1,-14.45754458,-1
