"","year","tech","type","HS","HS6","HS2","export_unit","export_num","export_value","export_average","import_unit","import_num","import_value","import_average","diff_value","average_value","diff_ratio","average_ratio"
"3351",2008,4,2,902610110,902610,90,1,NA,NA,NA,3,139338,1172393,8.414022018,-1172393,-8.414022018,-1,-1
"3352",2009,4,2,902610110,902610,90,1,NA,NA,NA,3,101079,929877,9.199507316,-929877,-9.199507316,-1,-1
"3353",2010,4,2,902610110,902610,90,1,NA,NA,NA,3,172439,1335700,7.745927545,-1335700,-7.745927545,-1,-1
"3354",2011,4,2,902610110,902610,90,1,NA,NA,NA,3,110212,1233230,11.18961638,-1233230,-11.18961638,-1,-1
"3355",2012,4,2,902610110,902610,90,1,NA,NA,NA,3,94628,1009669,10.66987572,-1009669,-10.66987572,-1,-1
"3356",2013,4,2,902610110,902610,90,1,NA,NA,NA,3,44367,661345,14.90623662,-661345,-14.90623662,-1,-1
"3357",2014,4,2,902610110,902610,90,1,NA,NA,NA,3,44396,732848,16.50707271,-732848,-16.50707271,-1,-1
"3358",2008,4,2,902610190,902610,90,1,NA,NA,NA,3,89351,1033733,11.56935009,-1033733,-11.56935009,-1,-1
"3359",2009,4,2,902610190,902610,90,1,NA,NA,NA,3,65375,686941,10.50770172,-686941,-10.50770172,-1,-1
"3360",2010,4,2,902610190,902610,90,1,NA,NA,NA,3,70449,870254,12.35296456,-870254,-12.35296456,-1,-1
"3361",2011,4,2,902610190,902610,90,1,NA,NA,NA,3,93697,863074,9.211330139,-863074,-9.211330139,-1,-1
"3362",2012,4,2,902610190,902610,90,1,NA,NA,NA,3,74941,901447,12.02875595,-901447,-12.02875595,-1,-1
"3363",2013,4,2,902610190,902610,90,1,NA,NA,NA,3,80895,1049443,12.97290315,-1049443,-12.97290315,-1,-1
"3364",2014,4,2,902610190,902610,90,1,NA,NA,NA,3,85282,1207240,14.15585938,-1207240,-14.15585938,-1,-1
"3365",2008,4,2,902610900,902610,90,1,NA,NA,NA,3,68296,452920,6.631720745,-452920,-6.631720745,-1,-1
"3366",2009,4,2,902610900,902610,90,1,NA,NA,NA,3,104224,603958,5.794807338,-603958,-5.794807338,-1,-1
"3367",2010,4,2,902610900,902610,90,1,NA,NA,NA,3,136641,800436,5.857948932,-800436,-5.857948932,-1,-1
"3368",2011,4,2,902610900,902610,90,1,NA,NA,NA,3,145656,863159,5.9260106,-863159,-5.9260106,-1,-1
"3369",2012,4,2,902610900,902610,90,1,NA,NA,NA,3,93997,568890,6.052214432,-568890,-6.052214432,-1,-1
"3370",2013,4,2,902610900,902610,90,1,NA,NA,NA,3,113457,617645,5.443868602,-617645,-5.443868602,-1,-1
"3371",2014,4,2,902610900,902610,90,1,NA,NA,NA,3,108744,651181,5.988201648,-651181,-5.988201648,-1,-1
"3372",2008,4,4,902620010,902620,90,2,13714,276465,20.15932624,1,NA,NA,NA,276465,20.15932624,1,1
"3373",2009,4,4,902620010,902620,90,2,13172,243297,18.47077133,1,NA,NA,NA,243297,18.47077133,1,1
"3374",2010,4,4,902620010,902620,90,2,32942,455825,13.83719871,1,NA,NA,NA,455825,13.83719871,1,1
"3375",2011,4,4,902620010,902620,90,2,28545,387390,13.57120336,1,NA,NA,NA,387390,13.57120336,1,1
"3376",2012,4,4,902620010,902620,90,2,19747,319793,16.19451056,1,NA,NA,NA,319793,16.19451056,1,1
"3377",2013,4,4,902620010,902620,90,2,37346,703319,18.83251218,1,NA,NA,NA,703319,18.83251218,1,1
"3378",2014,4,4,902620010,902620,90,2,23265,579405,24.90457769,1,NA,NA,NA,579405,24.90457769,1,1
"3379",2008,4,4,902620090,902620,90,2,101591,199003,1.958864466,1,NA,NA,NA,199003,1.958864466,1,1
"3380",2009,4,4,902620090,902620,90,2,67344,134839,2.002242219,1,NA,NA,NA,134839,2.002242219,1,1
"3381",2010,4,4,902620090,902620,90,2,84048,185272,2.204359414,1,NA,NA,NA,185272,2.204359414,1,1
"3382",2011,4,4,902620090,902620,90,2,71269,149122,2.092382382,1,NA,NA,NA,149122,2.092382382,1,1
"3383",2012,4,4,902620090,902620,90,2,89569,192763,2.152117362,1,NA,NA,NA,192763,2.152117362,1,1
