"","names.best_clu.cluster.","best_clu.cluster"
"454","454",3
"455","455",4
"456","456",4
"457","457",4
"458","458",4
"459","459",4
"460","460",4
"461","461",4
"462","462",4
"463","463",4
"464","464",4
"465","465",4
"466","466",4
"467","467",4
"468","468",4
"469","469",4
"470","470",4
"471","471",4
"472","472",4
"473","473",4
"474","474",4
"475","475",4
"476","476",3
"477","477",3
"478","478",3
"479","479",3
"480","480",3
"481","481",3
"482","482",3
"483","483",3
"484","484",3
"485","485",3
"486","486",3
"487","487",3
"488","488",3
"489","489",3
"490","490",3
"491","491",3
"492","492",3
"493","493",3
"494","494",3
"495","495",3
"496","496",3
"497","497",3
"498","498",3
"499","499",3
"500","500",3
"501","501",3
"502","502",3
"503","503",3
"504","504",3
"505","505",3
"506","506",3
"507","507",3
"508","508",3
"509","509",3
"510","510",3
"511","511",3
"512","512",3
"513","513",3
"514","514",3
"515","515",3
"516","516",3
"517","517",3
"518","518",3
"519","519",3
"520","520",3
"521","521",3
"522","522",3
"523","523",4
"524","524",4
"525","525",4
"526","526",4
"527","527",4
"528","528",4
"529","529",4
"530","530",4
"531","531",4
"532","532",4
"533","533",4
"534","534",4
"535","535",4
"536","536",4
"537","537",4
"538","538",4
"539","539",4
"540","540",4
"541","541",4
"542","542",4
"543","543",4
"544","544",4
"545","545",4
"546","546",4
"547","547",4
"548","548",4
"549","549",4
"550","550",4
"551","551",4
"552","552",4
"553","553",4
"554","554",4
"555","555",4
"556","556",4
"557","557",4
"558","558",3
"559","559",3
"560","560",3
"561","561",3
"562","562",3
"563","563",3
"564","564",3
"565","565",3
"566","566",3
"567","567",3
"568","568",3
"569","569",3
"570","570",3
"571","571",3
"572","572",3
"573","573",3
"574","574",3
"575","575",3
"576","576",3
"577","577",3
"578","578",3
"579","579",4
"580","580",4
"581","581",4
"582","582",4
"583","583",4
"584","584",4
"585","585",4
"586","586",4
"587","587",4
"588","588",4
"589","589",4
"590","590",4
"591","591",4
"592","592",4
"593","593",2
"594","594",2
"595","595",2
"596","596",2
"597","597",5
"598","598",2
"599","599",4
"600","600",4
"601","601",4
"602","602",4
"603","603",4
"604","604",4
"605","605",4
"606","606",4
"607","607",3
"608","608",3
"609","609",3
"610","610",3
"611","611",3
"612","612",3
"613","613",3
"614","614",3
"615","615",3
"616","616",3
"617","617",3
"618","618",3
"619","619",3
"620","620",3
"621","621",3
"622","622",3
"623","623",3
"624","624",3
"625","625",3
"626","626",3
"627","627",3
"628","628",3
"629","629",3
"630","630",3
"631","631",3
"632","632",3
"633","633",3
"634","634",3
"635","635",3
"636","636",3
"637","637",3
"638","638",3
"639","639",3
"640","640",3
"641","641",3
"642","642",3
"643","643",3
"644","644",3
"645","645",3
"646","646",3
"647","647",3
"648","648",4
"649","649",4
"650","650",4
"651","651",4
"652","652",4
"653","653",4
"654","654",4
"655","655",4
"656","656",4
"657","657",4
"658","658",4
"659","659",4
"660","660",4
"661","661",4
"662","662",2
"663","663",6
"664","664",3
"665","665",3
"666","666",1
"667","667",3
"668","668",5
"669","669",2
"670","670",4
"671","671",2
"672","672",6
"673","673",5
"674","674",6
"675","675",2
"676","676",2
"677","677",5
"678","678",5
"679","679",2
"680","680",5
"681","681",5
"682","682",5
"683","683",4
"684","684",4
"685","685",4
"686","686",4
"687","687",2
"688","688",2
"689","689",2
"690","690",2
"691","691",2
"692","692",2
"693","693",2
"694","694",2
"695","695",2
"696","696",2
"697","697",5
"698","698",5
"699","699",5
"700","700",2
"701","701",5
"702","702",5
"703","703",5
"704","704",4
"705","705",4
"706","706",4
"707","707",4
"708","708",4
"709","709",4
"710","710",4
"711","711",3
"712","712",3
"713","713",3
"714","714",3
"715","715",3
"716","716",3
"717","717",3
"718","718",3
"719","719",3
"720","720",3
"721","721",3
"722","722",3
"723","723",3
"724","724",5
"725","725",5
"726","726",5
"727","727",4
"728","728",4
"729","729",4
"730","730",4
"731","731",3
"732","732",3
"733","733",3
"734","734",3
"735","735",3
"736","736",3
"737","737",3
"738","738",3
"739","739",3
"740","740",3
"741","741",3
"742","742",3
"743","743",3
"744","744",3
"745","745",3
"746","746",3
"747","747",3
"748","748",3
"749","749",3
"750","750",3
"751","751",3
"752","752",3
"753","753",3
"754","754",3
"755","755",3
"756","756",3
"757","757",3
"758","758",4
"759","759",4
"760","760",4
"761","761",4
"762","762",4
"763","763",4
"764","764",4
"765","765",4
"766","766",4
"767","767",4
"768","768",4
"769","769",4
"770","770",4
"771","771",4
"772","772",1
"773","773",3
"774","774",5
"775","775",5
"776","776",1
"777","777",5
"778","778",1
"779","779",4
"780","780",2
"781","781",4
"782","782",4
"783","783",5
"784","784",4
"785","785",4
"786","786",5
"787","787",5
"788","788",5
"789","789",5
"790","790",5
"791","791",2
"792","792",5
"793","793",3
"794","794",3
"795","795",3
"796","796",3
"797","797",3
"798","798",3
"799","799",3
"800","800",4
"801","801",4
"802","802",4
"803","803",4
"804","804",4
"805","805",4
"806","806",4
"807","807",4
"808","808",4
"809","809",4
"810","810",4
"811","811",4
"812","812",4
"813","813",4
"814","814",4
"815","815",4
"816","816",4
"817","817",4
"818","818",4
"819","819",4
"820","820",4
"821","821",4
"822","822",3
"823","823",3
"824","824",3
"825","825",3
"826","826",3
"827","827",3
"828","828",3
"829","829",3
"830","830",3
"831","831",3
"832","832",4
"833","833",4
"834","834",4
"835","835",4
"836","836",4
"837","837",3
"838","838",3
"839","839",4
"840","840",4
"841","841",4
"842","842",4
"843","843",3
"844","844",3
"845","845",3
"846","846",3
"847","847",3
"848","848",3
"849","849",3
"850","850",4
"851","851",4
"852","852",4
"853","853",4
"854","854",4
"855","855",4
"856","856",4
"857","857",4
"858","858",4
"859","859",4
"860","860",4
"861","861",4
"862","862",4
"863","863",4
"864","864",4
"865","865",2
"866","866",4
"867","867",4
"868","868",2
"869","869",4
"870","870",5
"871","871",4
"872","872",4
"873","873",4
"874","874",4
"875","875",2
"876","876",2
"877","877",6
"878","878",5
"879","879",5
"880","880",5
"881","881",5
"882","882",5
"883","883",5
"884","884",5
"885","885",4
"886","886",4
"887","887",6
"888","888",4
"889","889",4
"890","890",2
"891","891",3
"892","892",3
"893","893",3
"894","894",3
"895","895",3
"896","896",3
"897","897",3
"898","898",4
"899","899",4
"900","900",4
"901","901",4
"902","902",4
"903","903",4
"904","904",4
"905","905",4
"906","906",4
"907","907",4
"908","908",4
"909","909",4
"910","910",4
"911","911",4
"912","912",4
"913","913",4
"914","914",4
"915","915",4
"916","916",4
"917","917",3
"918","918",3
"919","919",3
"920","920",3
"921","921",5
"922","922",5
"923","923",5
"924","924",4
"925","925",4
"926","926",4
"927","927",4
"928","928",4
"929","929",4
"930","930",4
"931","931",2
"932","932",2
"933","933",2
"934","934",6
"935","935",2
"936","936",2
"937","937",4
"938","938",3
"939","939",3
"940","940",3
"941","941",3
"942","942",3
"943","943",3
"944","944",3
"945","945",3
"946","946",3
"947","947",3
"948","948",4
"949","949",4
"950","950",4
"951","951",4
"952","952",4
"953","953",4
"954","954",4
"955","955",4
"956","956",4
"957","957",4
"958","958",4
"959","959",4
"960","960",4
"961","961",4
"962","962",3
"963","963",3
"964","964",3
"965","965",3
"966","966",3
"967","967",3
"968","968",3
"969","969",4
"970","970",4
"971","971",4
"972","972",4
"973","973",4
"974","974",4
"975","975",4
"976","976",4
"977","977",4
"978","978",4
"979","979",4
"980","980",4
"981","981",4
"982","982",4
"983","983",2
"984","984",3
"985","985",3
"986","986",2
"987","987",6
"988","988",2
"989","989",6
"990","990",6
"991","991",2
"992","992",4
"993","993",6
"994","994",2
"995","995",6
"996","996",6
"997","997",6
"998","998",6
"999","999",6
"1000","1000",4
"1001","1001",6
"1002","1002",5
"1003","1003",6
"1004","1004",5
"1005","1005",4
"1006","1006",2
"1007","1007",3
"1008","1008",3
"1009","1009",3
"1010","1010",3
"1011","1011",3
"1012","1012",3
"1013","1013",3
"1014","1014",3
"1015","1015",3
"1016","1016",3
"1017","1017",3
"1018","1018",3
"1019","1019",3
"1020","1020",3
"1021","1021",3
"1022","1022",3
"1023","1023",3
"1024","1024",3
"1025","1025",3
"1026","1026",3
"1027","1027",3
"1028","1028",4
"1029","1029",4
"1030","1030",4
"1031","1031",4
"1032","1032",4
"1033","1033",4
"1034","1034",4
"1035","1035",4
"1036","1036",4
"1037","1037",4
"1038","1038",4
"1039","1039",4
"1040","1040",4
"1041","1041",4
"1042","1042",4
"1043","1043",4
"1044","1044",4
"1045","1045",4
"1046","1046",4
"1047","1047",4
"1048","1048",4
"1049","1049",4
"1050","1050",4
"1051","1051",4
