"","year","tech","type","HS","HS6","HS2","export_unit","export_num","export_value","export_average","import_unit","import_num","import_value","import_average","diff_value","average_value","diff_ratio","average_ratio"
"1",1995,6,1,381800010,381800,38,3,253,13096,51.76284585,1,NA,NA,NA,13096,51.76284585,1,1
"2",1996,6,1,381800010,381800,38,3,2056,177011,86.09484436,1,NA,NA,NA,177011,86.09484436,1,1
"3",1997,6,1,381800010,381800,38,3,3856,480012,124.4844398,1,NA,NA,NA,480012,124.4844398,1,1
"4",1998,6,1,381800010,381800,38,3,4683,1797353,383.8037583,1,NA,NA,NA,1797353,383.8037583,1,1
"5",1999,6,1,381800010,381800,38,3,6063,1708844,281.8479301,1,NA,NA,NA,1708844,281.8479301,1,1
"6",2000,6,1,381800010,381800,38,3,10587,647786,61.18692736,1,NA,NA,NA,647786,61.18692736,1,1
"7",1998,6,1,381800020,381800,38,3,15503,58580,3.778623492,1,NA,NA,NA,58580,3.778623492,1,1
"8",1999,6,1,381800020,381800,38,3,38500,79101,2.054571429,1,NA,NA,NA,79101,2.054571429,1,1
"9",2000,6,1,381800020,381800,38,3,43220,99783,2.308722814,1,NA,NA,NA,99783,2.308722814,1,1
"10",1994,6,1,381800100,381800,38,1,NA,NA,NA,4,2458,81971,33.34865745,-81971,-33.34865745,-1,-1
"11",1995,6,1,381800100,381800,38,1,NA,NA,NA,4,5401,221936,41.09164969,-221936,-41.09164969,-1,-1
"12",1996,6,1,381800100,381800,38,1,NA,NA,NA,4,8963,303359,33.84569898,-303359,-33.84569898,-1,-1
"13",1997,6,1,381800100,381800,38,1,NA,NA,NA,4,10384,425739,40.99951849,-425739,-40.99951849,-1,-1
"14",1998,6,1,381800100,381800,38,1,NA,NA,NA,4,10032,625510,62.35147528,-625510,-62.35147528,-1,-1
"15",1999,6,1,381800100,381800,38,1,NA,NA,NA,4,16588,1481618,89.31866409,-1481618,-89.31866409,-1,-1
"16",2000,6,1,381800100,381800,38,1,NA,NA,NA,4,43433,2902525,66.82764258,-2902525,-66.82764258,-1,-1
"17",1994,6,1,381800900,381800,38,1,NA,NA,NA,4,44,71327,1621.068182,-71327,-1621.068182,-1,-1
"18",1995,6,1,381800900,381800,38,1,NA,NA,NA,4,169,129197,764.4792899,-129197,-764.4792899,-1,-1
"19",1996,6,1,381800900,381800,38,1,NA,NA,NA,4,83,94560,1139.277108,-94560,-1139.277108,-1,-1
