"","year","tech","type","HS","HS6","HS2","export_unit","export_num","export_value","export_average","import_unit","import_num","import_value","import_average","diff_value","average_value","diff_ratio","average_ratio"
"20",1997,6,1,381800900,381800,38,1,NA,NA,NA,4,119,193329,1624.613445,-193329,-1624.613445,-1,-1
"21",1998,6,1,381800900,381800,38,1,NA,NA,NA,4,246,199920,812.6829268,-199920,-812.6829268,-1,-1
"22",1999,6,1,381800900,381800,38,1,NA,NA,NA,4,61,184982,3032.491803,-184982,-3032.491803,-1,-1
"23",2000,6,1,381800900,381800,38,1,NA,NA,NA,4,84,246851,2938.702381,-246851,-2938.702381,-1,-1
"24",1994,6,2,401110000,401110,40,1,NA,NA,NA,4,173527,64068,0.369210555,-64068,-0.369210555,-1,-1
"25",1995,6,2,401110000,401110,40,1,NA,NA,NA,4,234438,71164,0.303551472,-71164,-0.303551472,-1,-1
"26",1996,6,2,401110000,401110,40,1,NA,NA,NA,4,33874,15861,0.468235225,-15861,-0.468235225,-1,-1
"27",1997,6,2,401110000,401110,40,1,NA,NA,NA,4,224000,132200,0.590178571,-132200,-0.590178571,-1,-1
"28",1998,6,2,401110000,401110,40,1,NA,NA,NA,4,264968,150359,0.567460976,-150359,-0.567460976,-1,-1
"29",1999,6,2,401110000,401110,40,1,NA,NA,NA,4,129427,73564,0.568382177,-73564,-0.568382177,-1,-1
"30",2000,6,2,401110000,401110,40,1,NA,NA,NA,4,78734,48596,0.617217466,-48596,-0.617217466,-1,-1
"31",1994,6,2,401110010,401110,40,3,11462,5190,0.452800558,1,NA,NA,NA,5190,0.452800558,1,1
"32",1995,6,2,401110010,401110,40,3,21416,6806,0.317799776,1,NA,NA,NA,6806,0.317799776,1,1
"33",1996,6,2,401110010,401110,40,3,3111,5406,1.737704918,1,NA,NA,NA,5406,1.737704918,1,1
"34",1997,6,2,401110010,401110,40,3,33367,11041,0.330895795,1,NA,NA,NA,11041,0.330895795,1,1
"35",1998,6,2,401110010,401110,40,3,12805,4985,0.389301054,1,NA,NA,NA,4985,0.389301054,1,1
"36",1999,6,2,401110010,401110,40,3,13476,6641,0.492802018,1,NA,NA,NA,6641,0.492802018,1,1
"37",2000,6,2,401110010,401110,40,3,424685,124202,0.292456762,1,NA,NA,NA,124202,0.292456762,1,1
"38",1996,6,2,401110090,401110,40,3,2000,2427,1.2135,1,NA,NA,NA,2427,1.2135,1,1
"39",1999,6,2,401110090,401110,40,3,396,394,0.994949495,1,NA,NA,NA,394,0.994949495,1,1
"40",1994,6,2,401120000,401120,40,3,21210,6092,0.287223008,4,98066,33022,0.336732405,-26930,-0.049509397,-0.688500281,-0.079347652
"41",1995,6,2,401120000,401120,40,3,88655,20459,0.230770966,4,51001,26605,0.521656438,-6146,-0.290885472,-0.130588135,-0.386596063
"42",1996,6,2,401120000,401120,40,3,45535,12474,0.273943121,4,55953,21354,0.381641735,-8880,-0.107698614,-0.262504434,-0.164278679
"43",1997,6,2,401120000,401120,40,3,29261,10001,0.341785995,4,129504,63468,0.490085248,-53467,-0.148299253,-0.727749119,-0.178271883
"44",1998,6,2,401120000,401120,40,3,16112,5006,0.310700099,4,55514,26319,0.474096624,-21313,-0.163396525,-0.680383081,-0.208202354
"45",1999,6,2,401120000,401120,40,3,357798,80380,0.224651899,4,242171,104894,0.433140219,-24514,-0.208488321,-0.132312143,-0.316951686
"46",2000,6,2,401120000,401120,40,3,712518,165100,0.231713444,4,209679,66642,0.317828681,98458,-0.086115237,0.424860405,-0.156703613
"47",1996,6,1,820231000,820231,82,3,125008,192024,1.53609369,4,39262,50870,1.295654832,141154,0.240438858,0.581134157,0.084908267
"48",1997,6,1,820231000,820231,82,3,271096,532715,1.965041904,4,25441,95687,3.761133603,437028,-1.796091699,0.695459276,-0.313663404
"49",1998,6,1,820231000,820231,82,3,171356,329415,1.922401317,4,15549,97094,6.244388707,232321,-4.32198739,0.544703629,-0.529214952
"50",1999,6,1,820231000,820231,82,3,241880,298080,1.232346618,4,20213,89138,4.409934201,208942,-3.177587583,0.539597849,-0.563174306
"51",2000,6,1,820231000,820231,82,3,205519,324417,1.578525586,4,11240,74204,6.601779359,250213,-5.023253773,0.627696484,-0.614066811
"52",1996,6,1,820239000,820239,82,3,83518,123937,1.483955554,4,25868,49782,1.924462657,74155,-0.440507102,0.426867527,-0.129240919
"53",1997,6,1,820239000,820239,82,3,72579,121180,1.669628956,4,45362,24112,0.531546228,97068,1.138082728,0.66808909,0.517034144
"54",1998,6,1,820239000,820239,82,3,202188,450411,2.227684136,4,69696,46036,0.660525712,404375,1.567158424,0.814538108,0.542605457
"55",1999,6,1,820239000,820239,82,3,250865,513848,2.048304865,4,78085,106143,1.359326375,407705,0.68897849,0.657598255,0.202186927
"56",2000,6,1,820239000,820239,82,3,391241,741875,1.896209753,4,77148,64743,0.839205164,677132,1.057004589,0.83947048,0.38641472
"57",1994,6,1,820720000,820720,82,3,12446,31527,2.533103005,1,NA,NA,NA,31527,2.533103005,1,1
"58",1995,6,1,820720000,820720,82,3,3095,24446,7.898546042,1,NA,NA,NA,24446,7.898546042,1,1
"59",1996,6,1,820720000,820720,82,3,1792,36354,20.28683036,1,NA,NA,NA,36354,20.28683036,1,1
"60",1997,6,1,820720000,820720,82,3,8589,129324,15.05693329,1,NA,NA,NA,129324,15.05693329,1,1
"61",1998,6,1,820720000,820720,82,3,6182,154888,25.05467486,1,NA,NA,NA,154888,25.05467486,1,1
"62",1999,6,1,820720000,820720,82,3,4741,174368,36.77873866,1,NA,NA,NA,174368,36.77873866,1,1
"63",2000,6,1,820720000,820720,82,3,5469,147154,26.90692997,1,NA,NA,NA,147154,26.90692997,1,1
"64",1994,6,1,820720100,820720,82,1,NA,NA,NA,4,28,4325,154.4642857,-4325,-154.4642857,-1,-1
"65",1995,6,1,820720100,820720,82,1,NA,NA,NA,4,156,5509,35.31410256,-5509,-35.31410256,-1,-1
"66",1996,6,1,820720100,820720,82,1,NA,NA,NA,4,498,8946,17.96385542,-8946,-17.96385542,-1,-1
"67",1997,6,1,820720100,820720,82,1,NA,NA,NA,4,897,10098,11.25752508,-10098,-11.25752508,-1,-1
"68",1998,6,1,820720100,820720,82,1,NA,NA,NA,4,833,27249,32.71188475,-27249,-32.71188475,-1,-1
"69",1999,6,1,820720100,820720,82,1,NA,NA,NA,4,347,12985,37.42074928,-12985,-37.42074928,-1,-1
"70",2000,6,1,820720100,820720,82,1,NA,NA,NA,4,1508,49830,33.04376658,-49830,-33.04376658,-1,-1
"71",1994,6,1,820720200,820720,82,1,NA,NA,NA,4,594,7512,12.64646465,-7512,-12.64646465,-1,-1
"72",1995,6,1,820720200,820720,82,1,NA,NA,NA,4,1443,53017,36.74081774,-53017,-36.74081774,-1,-1
"73",1996,6,1,820720200,820720,82,1,NA,NA,NA,4,559,12248,21.91055456,-12248,-21.91055456,-1,-1
"74",1997,6,1,820720200,820720,82,1,NA,NA,NA,4,134,4024,30.02985075,-4024,-30.02985075,-1,-1
"75",1998,6,1,820720200,820720,82,1,NA,NA,NA,4,137,7493,54.69343066,-7493,-54.69343066,-1,-1
"76",1999,6,1,820720200,820720,82,1,NA,NA,NA,4,2039,32578,15.97743992,-32578,-15.97743992,-1,-1
"77",2000,6,1,820720200,820720,82,1,NA,NA,NA,4,426,21593,50.68779343,-21593,-50.68779343,-1,-1
"78",1994,6,1,820720900,820720,82,1,NA,NA,NA,4,12435,151467,12.18069964,-151467,-12.18069964,-1,-1
"79",1995,6,1,820720900,820720,82,1,NA,NA,NA,4,23777,175818,7.394456828,-175818,-7.394456828,-1,-1
"80",1996,6,1,820720900,820720,82,1,NA,NA,NA,4,39914,341256,8.549782031,-341256,-8.549782031,-1,-1
"81",1997,6,1,820720900,820720,82,1,NA,NA,NA,4,15494,149962,9.678714341,-149962,-9.678714341,-1,-1
"82",1998,6,1,820720900,820720,82,1,NA,NA,NA,4,12731,184059,14.45754458,-184059,-14.45754458,-1,-1
"83",1999,6,1,820720900,820720,82,1,NA,NA,NA,4,36180,192029,5.307600884,-192029,-5.307600884,-1,-1
"84",2000,6,1,820720900,820720,82,1,NA,NA,NA,4,22656,293012,12.93308616,-293012,-12.93308616,-1,-1
"85",1994,4,4,820750010,820750,82,3,84735,145492,1.717023662,1,NA,NA,NA,145492,1.717023662,1,1
"86",1995,4,4,820750010,820750,82,3,101994,148906,1.459948624,1,NA,NA,NA,148906,1.459948624,1,1
"87",1996,4,4,820750010,820750,82,3,107041,178964,1.671920105,1,NA,NA,NA,178964,1.671920105,1,1
"88",1997,4,4,820750010,820750,82,3,95148,197277,2.073369908,1,NA,NA,NA,197277,2.073369908,1,1
"89",1998,4,4,820750010,820750,82,3,77295,173605,2.246005563,1,NA,NA,NA,173605,2.246005563,1,1
"90",1999,4,4,820750010,820750,82,3,98769,189010,1.913657119,1,NA,NA,NA,189010,1.913657119,1,1
"91",2000,4,4,820750010,820750,82,3,106240,197995,1.863657756,1,NA,NA,NA,197995,1.863657756,1,1
"92",1994,4,4,820750090,820750,82,3,14158,98494,6.956773556,1,NA,NA,NA,98494,6.956773556,1,1
"93",1995,4,4,820750090,820750,82,3,19174,203465,10.61150516,1,NA,NA,NA,203465,10.61150516,1,1
"94",1996,4,4,820750090,820750,82,3,69679,466008,6.687926061,1,NA,NA,NA,466008,6.687926061,1,1
"95",1997,4,4,820750090,820750,82,3,91593,564097,6.158734838,1,NA,NA,NA,564097,6.158734838,1,1
"96",1998,4,4,820750090,820750,82,3,85250,763886,8.960539589,1,NA,NA,NA,763886,8.960539589,1,1
"97",1999,4,4,820750090,820750,82,3,76955,431735,5.610226756,1,NA,NA,NA,431735,5.610226756,1,1
"98",2000,4,4,820750090,820750,82,3,177548,571895,3.221072611,1,NA,NA,NA,571895,3.221072611,1,1
"99",1994,4,4,820750100,820750,82,1,NA,NA,NA,4,264,17777,67.33712121,-17777,-67.33712121,-1,-1
"100",1995,4,4,820750100,820750,82,1,NA,NA,NA,4,820,44189,53.88902439,-44189,-53.88902439,-1,-1
"101",1996,4,4,820750100,820750,82,1,NA,NA,NA,4,3748,65016,17.34685165,-65016,-17.34685165,-1,-1
"102",1997,4,4,820750100,820750,82,1,NA,NA,NA,4,6825,134629,19.72586081,-134629,-19.72586081,-1,-1
"103",1998,4,4,820750100,820750,82,1,NA,NA,NA,4,11939,150247,12.58455482,-150247,-12.58455482,-1,-1
"104",1999,4,4,820750100,820750,82,1,NA,NA,NA,4,18018,284445,15.78671329,-284445,-15.78671329,-1,-1
"105",2000,4,4,820750100,820750,82,1,NA,NA,NA,4,19381,275807,14.23079304,-275807,-14.23079304,-1,-1
"106",1994,4,4,820750200,820750,82,1,NA,NA,NA,4,3291,60674,18.43634154,-60674,-18.43634154,-1,-1
"107",1995,4,4,820750200,820750,82,1,NA,NA,NA,4,4761,50626,10.63348036,-50626,-10.63348036,-1,-1
"108",1996,4,4,820750200,820750,82,1,NA,NA,NA,4,5392,63727,11.81880564,-63727,-11.81880564,-1,-1
"109",1997,4,4,820750200,820750,82,1,NA,NA,NA,4,7779,125809,16.1729014,-125809,-16.1729014,-1,-1
"110",1998,4,4,820750200,820750,82,1,NA,NA,NA,4,3184,69600,21.85929648,-69600,-21.85929648,-1,-1
"111",1999,4,4,820750200,820750,82,1,NA,NA,NA,4,8674,114213,13.16728153,-114213,-13.16728153,-1,-1
"112",2000,4,4,820750200,820750,82,1,NA,NA,NA,4,4383,84061,19.17887292,-84061,-19.17887292,-1,-1
"113",1994,4,4,820750900,820750,82,1,NA,NA,NA,4,7723,57642,7.463679917,-57642,-7.463679917,-1,-1
"114",1995,4,4,820750900,820750,82,1,NA,NA,NA,4,4775,72342,15.15015707,-72342,-15.15015707,-1,-1
"115",1996,4,4,820750900,820750,82,1,NA,NA,NA,4,27174,198315,7.297968647,-198315,-7.297968647,-1,-1
"116",1997,4,4,820750900,820750,82,1,NA,NA,NA,4,17898,188485,10.53106492,-188485,-10.53106492,-1,-1
"117",1998,4,4,820750900,820750,82,1,NA,NA,NA,4,11281,180672,16.01560145,-180672,-16.01560145,-1,-1
"118",1999,4,4,820750900,820750,82,1,NA,NA,NA,4,13127,196641,14.97988878,-196641,-14.97988878,-1,-1
"119",2000,4,4,820750900,820750,82,1,NA,NA,NA,4,11057,239178,21.63136475,-239178,-21.63136475,-1,-1
"120",1994,4,3,830140000,830140,83,3,184649,107916,0.584438583,4,16678,55027,3.299376424,52889,-2.714937841,0.324585898,-0.699038918
"121",1995,4,3,830140000,830140,83,3,288511,212115,0.735205937,4,37850,108318,2.861770145,103797,-2.126564209,0.323927311,-0.591208882
"122",1996,4,3,830140000,830140,83,3,453733,445818,0.98255582,4,18899,87782,4.644796021,358036,-3.662240201,0.670982009,-0.650792825
"123",1997,4,3,830140000,830140,83,3,704075,476688,0.677041508,4,26015,126632,4.867653277,350056,-4.190611769,0.580216137,-0.755787637
"124",1998,4,3,830140000,830140,83,3,724739,546750,0.754409518,4,41256,143667,3.482329843,403083,-2.727920324,0.583825427,-0.643872585
"125",1999,4,3,830140000,830140,83,3,1496215,919253,0.614385633,4,89221,200319,2.245200121,718934,-1.630814488,0.64215075,-0.570297459
"126",2000,4,3,830140000,830140,83,3,2279436,1422514,0.624064023,4,93405,203933,2.183319951,1218581,-1.559255928,0.749228841,-0.55541242
"127",1994,4,4,830300000,830300,83,3,940,570,0.606382979,4,258843,204679,0.790745742,-204109,-0.184362763,-0.994445771,-0.131958323
"128",1995,4,4,830300000,830300,83,3,18648,3076,0.164950665,4,270672,200508,0.740778507,-197432,-0.575827842,-0.969781515,-0.635761616
"129",1996,4,4,830300000,830300,83,3,10500,9734,0.927047619,4,202221,169008,0.835758897,-159274,0.091288722,-0.891083237,0.051786013
"130",1997,4,4,830300000,830300,83,3,53005,43306,0.817017263,4,110429,169480,1.53474178,-126174,-0.717724517,-0.592961943,-0.305186248
"131",1998,4,4,830300000,830300,83,3,44671,24601,0.550715229,4,89503,47712,0.533077104,-23111,0.017638126,-0.319596753,0.016274451
"132",1999,4,4,830300000,830300,83,3,313684,242220,0.772178371,4,36860,37861,1.02715681,204359,-0.254978439,0.729642496,-0.141707027
"133",2000,4,4,830300000,830300,83,3,225379,192976,0.856228841,4,127167,136700,1.074964417,56276,-0.218735576,0.170700931,-0.113264467
"134",1994,6,1,830710000,830710,83,3,482468,338735,0.702088014,4,149433,176992,1.184423789,161743,-0.482335774,0.313621354,-0.255675991
"135",1995,6,1,830710000,830710,83,3,789160,498374,0.631524659,4,100371,237188,2.363112851,261186,-1.731588192,0.355083596,-0.578229648
"136",1996,6,1,830710000,830710,83,3,1341745,779136,0.580688581,4,199244,458908,2.303246271,320228,-1.72255769,0.258656397,-0.597294245
"137",1997,6,1,830710000,830710,83,3,1944850,1059880,0.544967478,4,112412,184520,1.641461766,875360,-1.096494287,0.703439409,-0.50150001
"138",1998,6,1,830710000,830710,83,3,2060791,1073149,0.52074616,4,80637,210874,2.615102248,862275,-2.094356088,0.671541709,-0.667875425
"139",1999,6,1,830710000,830710,83,3,2233163,1038146,0.464876948,4,58119,70863,1.219274248,967283,-0.7543973,0.872204824,-0.447939176
"140",2000,6,1,830710000,830710,83,3,2584730,1026939,0.39730997,4,76089,77555,1.019266911,949384,-0.621956941,0.859564651,-0.439056255
"141",1994,6,1,830790000,830790,83,3,3195,3371,1.055086072,4,8219,5675,0.690473294,-2304,0.364612778,-0.254698209,0.208880194
"142",1995,6,1,830790000,830790,83,3,2535,3887,1.533333333,4,2492,7651,3.070224719,-3764,-1.536891386,-0.326226382,-0.333848595
"143",1996,6,1,830790000,830790,83,3,6835,1821,0.266422824,4,4904,25461,5.191884176,-23640,-4.925461352,-0.866505388,-0.902378952
"144",1997,6,1,830790000,830790,83,1,NA,NA,NA,4,3247,7471,2.300893132,-7471,-2.300893132,-1,-1
"145",1998,6,1,830790000,830790,83,3,49,222,4.530612245,4,823,2897,3.520048603,-2675,1.010563642,-0.857646682,0.125525551
"146",1999,6,1,830790000,830790,83,1,NA,NA,NA,4,1822,6272,3.442371021,-6272,-3.442371021,-1,-1
"147",2000,6,1,830790000,830790,83,3,9017,3350,0.371520461,4,1095,6043,5.518721461,-2693,-5.147201,-0.286702864,-0.873852223
"148",1994,7,3,840732000,840732,84,3,591,899,1.521150592,1,NA,NA,NA,899,1.521150592,1,1
"149",1995,7,3,840732000,840732,84,3,290,471,1.624137931,1,NA,NA,NA,471,1.624137931,1,1
"150",1996,7,3,840732000,840732,84,3,75,206,2.746666667,1,NA,NA,NA,206,2.746666667,1,1
"151",1997,7,3,840732000,840732,84,3,662,1561,2.358006042,1,NA,NA,NA,1561,2.358006042,1,1
"152",1998,7,3,840732000,840732,84,3,840,2211,2.632142857,1,NA,NA,NA,2211,2.632142857,1,1
"153",1999,7,3,840732000,840732,84,3,1630,3084,1.89202454,1,NA,NA,NA,3084,1.89202454,1,1
"154",2000,7,3,840732000,840732,84,3,560,1654,2.953571429,1,NA,NA,NA,1654,2.953571429,1,1
"155",1994,7,3,840732100,840732,84,1,NA,NA,NA,4,8193332,15796284,1.927943845,-15796284,-1.927943845,-1,-1
"156",1995,7,3,840732100,840732,84,1,NA,NA,NA,4,8403005,15690354,1.867231306,-15690354,-1.867231306,-1,-1
"157",1996,7,3,840732100,840732,84,1,NA,NA,NA,4,6689534,12913998,1.930477968,-12913998,-1.930477968,-1,-1
"158",1997,7,3,840732100,840732,84,1,NA,NA,NA,4,4912610,10754003,2.189061008,-10754003,-2.189061008,-1,-1
"159",1998,7,3,840732100,840732,84,1,NA,NA,NA,4,3630700,8134126,2.240374033,-8134126,-2.240374033,-1,-1
"160",1999,7,3,840732100,840732,84,1,NA,NA,NA,4,1472470,2875983,1.953169165,-2875983,-1.953169165,-1,-1
"161",2000,7,3,840732100,840732,84,1,NA,NA,NA,4,833695,1349339,1.618504369,-1349339,-1.618504369,-1,-1
"162",1995,7,3,840732900,840732,84,1,NA,NA,NA,4,250,1881,7.524,-1881,-7.524,-1,-1
"163",1997,7,3,840732900,840732,84,1,NA,NA,NA,4,440,1792,4.072727273,-1792,-4.072727273,-1,-1
"164",1999,7,3,840732900,840732,84,1,NA,NA,NA,4,324,1280,3.950617284,-1280,-3.950617284,-1,-1
"165",2000,7,3,840732900,840732,84,1,NA,NA,NA,4,75,342,4.56,-342,-4.56,-1,-1
"166",1994,7,2,840991010,840991,84,3,65045,25681,0.394818971,1,NA,NA,NA,25681,0.394818971,1,1
"167",1995,7,2,840991010,840991,84,3,65384,46348,0.708858436,1,NA,NA,NA,46348,0.708858436,1,1
"168",1996,7,2,840991010,840991,84,3,1203066,326790,0.271630983,1,NA,NA,NA,326790,0.271630983,1,1
"169",1997,7,2,840991010,840991,84,3,2021600,826648,0.408907796,1,NA,NA,NA,826648,0.408907796,1,1
"170",1998,7,2,840991010,840991,84,3,2315342,1036344,0.44759867,1,NA,NA,NA,1036344,0.44759867,1,1
"171",1999,7,2,840991010,840991,84,3,3428403,2070555,0.603941544,1,NA,NA,NA,2070555,0.603941544,1,1
"172",2000,7,2,840991010,840991,84,3,3217743,1636725,0.508656223,1,NA,NA,NA,1636725,0.508656223,1,1
"173",1994,7,2,840991090,840991,84,3,4524,13754,3.040229885,1,NA,NA,NA,13754,3.040229885,1,1
"174",1995,7,2,840991090,840991,84,3,81929,204023,2.490241551,1,NA,NA,NA,204023,2.490241551,1,1
"175",1996,7,2,840991090,840991,84,3,155182,210953,1.359390909,1,NA,NA,NA,210953,1.359390909,1,1
"176",1997,7,2,840991090,840991,84,3,157238,306003,1.946113535,1,NA,NA,NA,306003,1.946113535,1,1
"177",1998,7,2,840991090,840991,84,3,570918,577008,1.010667031,1,NA,NA,NA,577008,1.010667031,1,1
"178",1999,7,2,840991090,840991,84,3,751535,741058,0.986059199,1,NA,NA,NA,741058,0.986059199,1,1
"179",2000,7,2,840991090,840991,84,3,674949,612710,0.907787107,1,NA,NA,NA,612710,0.907787107,1,1
"180",1994,7,2,840991100,840991,84,1,NA,NA,NA,4,9530248,15860439,1.664221015,-15860439,-1.664221015,-1,-1
"181",1995,7,2,840991100,840991,84,1,NA,NA,NA,4,11457835,19462691,1.698635999,-19462691,-1.698635999,-1,-1
"182",1996,7,2,840991100,840991,84,1,NA,NA,NA,4,10748739,18390436,1.71093893,-18390436,-1.71093893,-1,-1
"183",1997,7,2,840991100,840991,84,1,NA,NA,NA,4,12859545,20066261,1.560417651,-20066261,-1.560417651,-1,-1
"184",1998,7,2,840991100,840991,84,1,NA,NA,NA,4,7625119,14174642,1.858940431,-14174642,-1.858940431,-1,-1
"185",1999,7,2,840991100,840991,84,1,NA,NA,NA,4,8092942,18509917,2.28716788,-18509917,-2.28716788,-1,-1
"186",2000,7,2,840991100,840991,84,1,NA,NA,NA,4,7514305,12782178,1.701045938,-12782178,-1.701045938,-1,-1
"187",1994,7,2,840991200,840991,84,1,NA,NA,NA,4,7597,29210,3.844938792,-29210,-3.844938792,-1,-1
"188",1995,7,2,840991200,840991,84,1,NA,NA,NA,4,25983,47542,1.829734827,-47542,-1.829734827,-1,-1
"189",1996,7,2,840991200,840991,84,1,NA,NA,NA,4,24400,97674,4.003032787,-97674,-4.003032787,-1,-1
"190",1997,7,2,840991200,840991,84,1,NA,NA,NA,4,15336,92831,6.053142932,-92831,-6.053142932,-1,-1
"191",1998,7,2,840991200,840991,84,1,NA,NA,NA,4,11892,40530,3.408173562,-40530,-3.408173562,-1,-1
"192",1999,7,2,840991200,840991,84,1,NA,NA,NA,4,7885,38623,4.898287888,-38623,-4.898287888,-1,-1
"193",2000,7,2,840991200,840991,84,1,NA,NA,NA,4,28884,76529,2.649529151,-76529,-2.649529151,-1,-1
"194",1994,7,2,840991900,840991,84,1,NA,NA,NA,4,852,6862,8.05399061,-6862,-8.05399061,-1,-1
"195",1995,7,2,840991900,840991,84,1,NA,NA,NA,4,7496,38766,5.171558164,-38766,-5.171558164,-1,-1
"196",1996,7,2,840991900,840991,84,1,NA,NA,NA,4,39139,131266,3.353841437,-131266,-3.353841437,-1,-1
"197",1997,7,2,840991900,840991,84,1,NA,NA,NA,4,64349,254111,3.948950256,-254111,-3.948950256,-1,-1
"198",1998,7,2,840991900,840991,84,1,NA,NA,NA,4,24922,67613,2.712984512,-67613,-2.712984512,-1,-1
"199",1999,7,2,840991900,840991,84,1,NA,NA,NA,4,80526,173492,2.154484266,-173492,-2.154484266,-1,-1
"200",2000,7,2,840991900,840991,84,1,NA,NA,NA,4,83742,250860,2.995629433,-250860,-2.995629433,-1,-1
"201",1994,4,1,840999010,840999,84,3,62277,21900,0.351654704,1,NA,NA,NA,21900,0.351654704,1,1
"202",1995,4,1,840999010,840999,84,3,98994,41311,0.41730812,1,NA,NA,NA,41311,0.41730812,1,1
"203",1996,4,1,840999010,840999,84,3,356864,79797,0.223606192,1,NA,NA,NA,79797,0.223606192,1,1
"204",1997,4,1,840999010,840999,84,3,1528042,279125,0.182668408,1,NA,NA,NA,279125,0.182668408,1,1
"205",1998,4,1,840999010,840999,84,3,2490157,486670,0.195437476,1,NA,NA,NA,486670,0.195437476,1,1
"206",1999,4,1,840999010,840999,84,3,1490832,268966,0.180413353,1,NA,NA,NA,268966,0.180413353,1,1
"207",2000,4,1,840999010,840999,84,3,1263820,251489,0.198991154,1,NA,NA,NA,251489,0.198991154,1,1
"208",1994,4,1,840999090,840999,84,3,257730,62500,0.242501843,1,NA,NA,NA,62500,0.242501843,1,1
"209",1995,4,1,840999090,840999,84,3,1592503,241036,0.151356701,1,NA,NA,NA,241036,0.151356701,1,1
"210",1996,4,1,840999090,840999,84,3,4320032,838351,0.194061294,1,NA,NA,NA,838351,0.194061294,1,1
"211",1997,4,1,840999090,840999,84,3,4270976,947576,0.221864042,1,NA,NA,NA,947576,0.221864042,1,1
"212",1998,4,1,840999090,840999,84,3,3208326,805997,0.251220418,1,NA,NA,NA,805997,0.251220418,1,1
"213",1999,4,1,840999090,840999,84,3,2482526,523577,0.210904941,1,NA,NA,NA,523577,0.210904941,1,1
"214",2000,4,1,840999090,840999,84,3,2970436,628996,0.211752079,1,NA,NA,NA,628996,0.211752079,1,1
"215",1994,4,1,840999100,840999,84,1,NA,NA,NA,4,2822427,3320319,1.176405625,-3320319,-1.176405625,-1,-1
"216",1995,4,1,840999100,840999,84,1,NA,NA,NA,4,3036608,3438415,1.132320998,-3438415,-1.132320998,-1,-1
"217",1996,4,1,840999100,840999,84,1,NA,NA,NA,4,3531546,4910442,1.390451094,-4910442,-1.390451094,-1,-1
"218",1997,4,1,840999100,840999,84,1,NA,NA,NA,4,1844709,3836550,2.079758921,-3836550,-2.079758921,-1,-1
"219",1998,4,1,840999100,840999,84,1,NA,NA,NA,4,1927794,3583724,1.858976633,-3583724,-1.858976633,-1,-1
"220",1999,4,1,840999100,840999,84,1,NA,NA,NA,4,1832053,3552695,1.939187895,-3552695,-1.939187895,-1,-1
"221",2000,4,1,840999100,840999,84,1,NA,NA,NA,4,1593108,2935102,1.842374779,-2935102,-1.842374779,-1,-1
"222",1994,4,1,840999200,840999,84,1,NA,NA,NA,4,441511,964840,2.185313616,-964840,-2.185313616,-1,-1
"223",1995,4,1,840999200,840999,84,1,NA,NA,NA,4,573982,1094982,1.907693969,-1094982,-1.907693969,-1,-1
"224",1996,4,1,840999200,840999,84,1,NA,NA,NA,4,623355,1073843,1.722682901,-1073843,-1.722682901,-1,-1
