"","year","tech","type","HS","HS6","HS2","export_unit","export_num","export_value","export_average","import_unit","import_num","import_value","import_average","diff_value","average_value","diff_ratio","average_ratio"
"1",2001,6,1,381800010,381800,38,2,5400,232520,43.05925926,1,NA,NA,NA,232520,43.05925926,1,1
"2",2002,6,1,381800010,381800,38,2,10654,480796,45.12821476,1,NA,NA,NA,480796,45.12821476,1,1
"3",2003,6,1,381800010,381800,38,2,40175,1647929,41.01876789,1,NA,NA,NA,1647929,41.01876789,1,1
"4",2004,6,1,381800010,381800,38,2,77659,3805435,49.00185426,1,NA,NA,NA,3805435,49.00185426,1,1
"5",2005,6,1,381800010,381800,38,2,131829,6832178,51.82606255,1,NA,NA,NA,6832178,51.82606255,1,1
"6",2006,6,1,381800010,381800,38,2,103800,8842975,85.19243738,1,NA,NA,NA,8842975,85.19243738,1,1
"7",2007,6,1,381800010,381800,38,2,145932,14728697,100.9284941,1,NA,NA,NA,14728697,100.9284941,1,1
"8",2001,6,1,381800020,381800,38,2,25,581,23.24,1,NA,NA,NA,581,23.24,1,1
"9",2002,6,1,381800020,381800,38,2,32,3540,110.625,1,NA,NA,NA,3540,110.625,1,1
"10",2003,6,1,381800020,381800,38,2,36,5987,166.3055556,1,NA,NA,NA,5987,166.3055556,1,1
"11",2004,6,1,381800020,381800,38,2,722,179746,248.9556787,1,NA,NA,NA,179746,248.9556787,1,1
"12",2005,6,1,381800020,381800,38,2,1178,266279,226.0432937,1,NA,NA,NA,266279,226.0432937,1,1
"13",2006,6,1,381800020,381800,38,2,2459,442418,179.9178528,1,NA,NA,NA,442418,179.9178528,1,1
"14",2007,6,1,381800020,381800,38,2,4634,692433,149.4244713,1,NA,NA,NA,692433,149.4244713,1,1
"15",2001,6,1,381800100,381800,38,1,NA,NA,NA,3,29066,2293041,78.89083465,-2293041,-78.89083465,-1,-1
"16",2002,6,1,381800100,381800,38,1,NA,NA,NA,3,36830,3241447,88.01105077,-3241447,-88.01105077,-1,-1
"17",2003,6,1,381800100,381800,38,1,NA,NA,NA,3,47869,4124843,86.16939982,-4124843,-86.16939982,-1,-1
"18",2004,6,1,381800100,381800,38,1,NA,NA,NA,3,85944,7082907,82.41304803,-7082907,-82.41304803,-1,-1
"19",2005,6,1,381800100,381800,38,1,NA,NA,NA,3,104187,8636890,82.89796232,-8636890,-82.89796232,-1,-1
"20",2006,6,1,381800100,381800,38,1,NA,NA,NA,3,349037,21197408,60.7311202,-21197408,-60.7311202,-1,-1
"21",2007,6,1,381800100,381800,38,1,NA,NA,NA,3,612352,37295355,60.90509217,-37295355,-60.90509217,-1,-1
"22",2001,6,1,381800900,381800,38,1,NA,NA,NA,3,619,284474,459.5702746,-284474,-459.5702746,-1,-1
"23",2002,6,1,381800900,381800,38,1,NA,NA,NA,3,255,329401,1291.768627,-329401,-1291.768627,-1,-1
"24",2003,6,1,381800900,381800,38,1,NA,NA,NA,3,356,327133,918.9129213,-327133,-918.9129213,-1,-1
"25",2004,6,1,381800900,381800,38,1,NA,NA,NA,3,417,345359,828.1990408,-345359,-828.1990408,-1,-1
"26",2005,6,1,381800900,381800,38,1,NA,NA,NA,3,1265,417485,330.027668,-417485,-330.027668,-1,-1
"27",2006,6,1,381800900,381800,38,1,NA,NA,NA,3,8764,1056775,120.5813555,-1056775,-120.5813555,-1,-1
"28",2007,6,1,381800900,381800,38,1,NA,NA,NA,3,13895,3524961,253.6855703,-3524961,-253.6855703,-1,-1
"29",2001,6,2,401110000,401110,40,1,NA,NA,NA,3,117621,44409,0.37756013,-44409,-0.37756013,-1,-1
"30",2002,6,2,401110000,401110,40,1,NA,NA,NA,3,28409,13954,0.491182372,-13954,-0.491182372,-1,-1
"31",2003,6,2,401110000,401110,40,1,NA,NA,NA,3,885670,577148,0.651651292,-577148,-0.651651292,-1,-1
"32",2004,6,2,401110000,401110,40,1,NA,NA,NA,3,1919545,906383,0.472186378,-906383,-0.472186378,-1,-1
"33",2005,6,2,401110000,401110,40,1,NA,NA,NA,3,1505253,601380,0.399520878,-601380,-0.399520878,-1,-1
"34",2006,6,2,401110000,401110,40,1,NA,NA,NA,3,5190467,2391799,0.460806128,-2391799,-0.460806128,-1,-1
"35",2007,6,2,401110000,401110,40,1,NA,NA,NA,3,7849807,3995674,0.509015572,-3995674,-0.509015572,-1,-1
"36",2001,6,2,401110010,401110,40,2,763495,203084,0.265992574,1,NA,NA,NA,203084,0.265992574,1,1
"37",2002,6,2,401110010,401110,40,2,3771268,1064895,0.282370545,1,NA,NA,NA,1064895,0.282370545,1,1
"38",2003,6,2,401110010,401110,40,2,5536646,1371070,0.247635482,1,NA,NA,NA,1371070,0.247635482,1,1
"39",2004,6,2,401110010,401110,40,2,8292176,2314095,0.279069692,1,NA,NA,NA,2314095,0.279069692,1,1
"40",2005,6,2,401110010,401110,40,2,24675878,7875376,0.319152818,1,NA,NA,NA,7875376,0.319152818,1,1
"41",2006,6,2,401110010,401110,40,2,36580011,12933457,0.353566241,1,NA,NA,NA,12933457,0.353566241,1,1
"42",2007,6,2,401110010,401110,40,2,34599229,12856095,0.371571719,1,NA,NA,NA,12856095,0.371571719,1,1
"43",2002,6,2,401110090,401110,40,2,1596,555,0.347744361,1,NA,NA,NA,555,0.347744361,1,1
"44",2003,6,2,401110090,401110,40,2,2300,588,0.255652174,1,NA,NA,NA,588,0.255652174,1,1
"45",2004,6,2,401110090,401110,40,2,123322,32803,0.265994713,1,NA,NA,NA,32803,0.265994713,1,1
"46",2005,6,2,401110090,401110,40,2,13535,5877,0.43420761,1,NA,NA,NA,5877,0.43420761,1,1
"47",2006,6,2,401110090,401110,40,2,29934,10033,0.335170709,1,NA,NA,NA,10033,0.335170709,1,1
"48",2007,6,2,401110090,401110,40,2,73008,31424,0.430418584,1,NA,NA,NA,31424,0.430418584,1,1
"49",2001,6,2,401120000,401120,40,2,1306720,274865,0.210347282,3,47122,13394,0.284240907,261471,-0.073893625,0.907069684,-0.149404346
"50",2002,6,2,401120000,401120,40,2,1020631,219105,0.214676019,3,189053,50100,0.265005051,169005,-0.050329032,0.627792946,-0.104921865
"51",2003,6,2,401120000,401120,40,2,671878,138975,0.206845588,3,236696,69284,0.292713016,69691,-0.085867428,0.334636198,-0.171886596
"52",2004,6,2,401120000,401120,40,2,1419460,277968,0.195826582,3,444964,109231,0.245482781,168737,-0.049656199,0.435788832,-0.112520157
"53",2005,6,2,401120000,401120,40,2,1366594,306836,0.224526085,3,2245632,576770,0.256840836,-269934,-0.032314751,-0.305491362,-0.067131226
"54",2006,6,2,401120000,401120,40,2,2902505,698688,0.240718965,3,19360474,5712643,0.295067311,-5013955,-0.054348346,-0.782045881,-0.101436614
"55",2007,6,2,401120000,401120,40,2,2422547,657771,0.271520429,3,16034346,4827753,0.301088239,-4169982,-0.02956781,-0.760179337,-0.051637029
"56",2001,6,1,820231000,820231,82,2,158871,285825,1.799101158,3,12262,82693,6.743842766,203132,-4.944741609,0.551213238,-0.578810028
"57",2002,6,1,820231000,820231,82,2,376499,392187,1.041668105,3,15743,79362,5.041097631,312825,-3.999429525,0.663398714,-0.657501817
"58",2003,6,1,820231000,820231,82,2,629243,623434,0.990768272,3,32187,111953,3.478205487,511481,-2.487437214,0.695526301,-0.556601437
"59",2004,6,1,820231000,820231,82,2,800876,663653,0.828658869,3,20191,84093,4.16487544,579560,-3.336216571,0.775076028,-0.668107269
"60",2005,6,1,820231000,820231,82,2,1162373,919408,0.790975014,3,15985,101012,6.319174226,818396,-5.528199212,0.802018777,-0.777508182
"61",2006,6,1,820231000,820231,82,2,1529171,1752267,1.145893429,3,22393,100288,4.478542402,1651979,-3.332648973,0.89173007,-0.592530357
"62",2007,6,1,820231000,820231,82,2,2022058,2502939,1.23781761,3,21778,152700,7.011663146,2350239,-5.773845537,0.88499943,-0.699904116
"63",2001,6,1,820239000,820239,82,2,381793,827629,2.16774273,3,103572,54480,0.526010891,773149,1.641731839,0.87647785,0.609458796
"64",2002,6,1,820239000,820239,82,2,551065,1010468,1.833663905,3,84173,57138,0.678816247,953330,1.154847658,0.892960512,0.45964449
"65",2003,6,1,820239000,820239,82,2,723020,1044417,1.444520207,3,10273,51647,5.027450599,992770,-3.582930392,0.905759153,-0.553607317
"66",2004,6,1,820239000,820239,82,2,1206946,1548862,1.283290222,3,16413,63215,3.851520136,1485647,-2.568229915,0.921573225,-0.500160617
"67",2005,6,1,820239000,820239,82,2,1327414,1827174,1.376491434,3,51516,129405,2.511938039,1697769,-1.135446605,0.867723205,-0.292006481
"68",2006,6,1,820239000,820239,82,2,1008380,1336980,1.325869216,3,47585,225789,4.744961648,1111191,-3.419092432,0.711039827,-0.563200081
"69",2007,6,1,820239000,820239,82,2,939300,1022742,1.088834238,3,223099,400741,1.796247406,622001,-0.707413168,0.436957097,-0.245196932
"70",2001,6,1,820720000,820720,82,2,5303,116633,21.99377711,1,NA,NA,NA,116633,21.99377711,1,1
"71",2002,6,1,820720000,820720,82,2,3460,110214,31.85375723,1,NA,NA,NA,110214,31.85375723,1,1
"72",2003,6,1,820720000,820720,82,2,21387,113575,5.310468976,1,NA,NA,NA,113575,5.310468976,1,1
"73",2004,6,1,820720000,820720,82,2,27902,162023,5.806859723,1,NA,NA,NA,162023,5.806859723,1,1
"74",2005,6,1,820720000,820720,82,2,26605,112479,4.227739147,1,NA,NA,NA,112479,4.227739147,1,1
"75",2006,6,1,820720000,820720,82,2,123206,214934,1.744509196,1,NA,NA,NA,214934,1.744509196,1,1
"76",2007,6,1,820720000,820720,82,2,26210,160821,6.135864174,1,NA,NA,NA,160821,6.135864174,1,1
"77",2001,6,1,820720200,820720,82,1,NA,NA,NA,3,217,20786,95.78801843,-20786,-95.78801843,-1,-1
"78",2002,6,1,820720200,820720,82,1,NA,NA,NA,3,384,46776,121.8125,-46776,-121.8125,-1,-1
"79",2003,6,1,820720200,820720,82,1,NA,NA,NA,3,1049,121821,116.1306006,-121821,-116.1306006,-1,-1
"80",2004,6,1,820720200,820720,82,1,NA,NA,NA,3,506,96357,190.4288538,-96357,-190.4288538,-1,-1
"81",2005,6,1,820720200,820720,82,1,NA,NA,NA,3,246,44003,178.8739837,-44003,-178.8739837,-1,-1
"82",2006,6,1,820720200,820720,82,1,NA,NA,NA,3,549,78342,142.6994536,-78342,-142.6994536,-1,-1
"83",2007,6,1,820720200,820720,82,1,NA,NA,NA,3,944,116523,123.4353814,-116523,-123.4353814,-1,-1
"84",2001,6,1,820720900,820720,82,1,NA,NA,NA,3,73397,410399,5.591495565,-410399,-5.591495565,-1,-1
"85",2002,6,1,820720900,820720,82,1,NA,NA,NA,3,77848,781796,10.04259583,-781796,-10.04259583,-1,-1
"86",2003,6,1,820720900,820720,82,1,NA,NA,NA,3,208295,1956308,9.392006529,-1956308,-9.392006529,-1,-1
"87",2004,6,1,820720900,820720,82,1,NA,NA,NA,3,148092,1457477,9.841699754,-1457477,-9.841699754,-1,-1
"88",2005,6,1,820720900,820720,82,1,NA,NA,NA,3,208708,1503454,7.203624202,-1503454,-7.203624202,-1,-1
"89",2006,6,1,820720900,820720,82,1,NA,NA,NA,3,284799,1222740,4.293343727,-1222740,-4.293343727,-1,-1
"90",2007,6,1,820720900,820720,82,1,NA,NA,NA,3,142878,1295495,9.067141197,-1295495,-9.067141197,-1,-1
"91",2001,4,4,820750010,820750,82,2,194575,307365,1.579673648,1,NA,NA,NA,307365,1.579673648,1,1
"92",2002,4,4,820750010,820750,82,2,193905,282474,1.456764911,1,NA,NA,NA,282474,1.456764911,1,1
"93",2003,4,4,820750010,820750,82,2,231837,273446,1.179475235,1,NA,NA,NA,273446,1.179475235,1,1
"94",2004,4,4,820750010,820750,82,2,221359,237182,1.071481169,1,NA,NA,NA,237182,1.071481169,1,1
"95",2005,4,4,820750010,820750,82,2,305930,324918,1.062066486,1,NA,NA,NA,324918,1.062066486,1,1
"96",2006,4,4,820750010,820750,82,2,255083,330475,1.295558701,1,NA,NA,NA,330475,1.295558701,1,1
"97",2007,4,4,820750010,820750,82,2,178838,338742,1.894127646,1,NA,NA,NA,338742,1.894127646,1,1
"98",2001,4,4,820750090,820750,82,2,242888,715684,2.946559731,1,NA,NA,NA,715684,2.946559731,1,1
"99",2002,4,4,820750090,820750,82,2,238339,895936,3.759082651,1,NA,NA,NA,895936,3.759082651,1,1
"100",2003,4,4,820750090,820750,82,2,318964,1076064,3.373622102,1,NA,NA,NA,1076064,3.373622102,1,1
"101",2004,4,4,820750090,820750,82,2,341158,1637453,4.799691052,1,NA,NA,NA,1637453,4.799691052,1,1
"102",2005,4,4,820750090,820750,82,2,479212,3104284,6.477892874,1,NA,NA,NA,3104284,6.477892874,1,1
"103",2006,4,4,820750090,820750,82,2,601692,3866909,6.426724969,1,NA,NA,NA,3866909,6.426724969,1,1
"104",2007,4,4,820750090,820750,82,2,515731,3825095,7.416841338,1,NA,NA,NA,3825095,7.416841338,1,1
"105",2001,4,4,820750100,820750,82,1,NA,NA,NA,3,18820,316752,16.83060574,-316752,-16.83060574,-1,-1
"106",2002,4,4,820750100,820750,82,1,NA,NA,NA,3,21397,353026,16.49885498,-353026,-16.49885498,-1,-1
"107",2003,4,4,820750100,820750,82,1,NA,NA,NA,3,31418,584270,18.59666433,-584270,-18.59666433,-1,-1
"108",2004,4,4,820750100,820750,82,1,NA,NA,NA,3,26900,624196,23.20431227,-624196,-23.20431227,-1,-1
"109",2005,4,4,820750100,820750,82,1,NA,NA,NA,3,27511,666696,24.23379739,-666696,-24.23379739,-1,-1
"110",2006,4,4,820750100,820750,82,1,NA,NA,NA,3,40988,959830,23.41734166,-959830,-23.41734166,-1,-1
"111",2007,4,4,820750100,820750,82,1,NA,NA,NA,3,69100,1476198,21.36321274,-1476198,-21.36321274,-1,-1
"112",2001,4,4,820750200,820750,82,1,NA,NA,NA,3,8884,272446,30.66704187,-272446,-30.66704187,-1,-1
"113",2002,4,4,820750200,820750,82,1,NA,NA,NA,3,3251,89552,27.54598585,-89552,-27.54598585,-1,-1
"114",2003,4,4,820750200,820750,82,1,NA,NA,NA,3,6152,120181,19.53527308,-120181,-19.53527308,-1,-1
"115",2004,4,4,820750200,820750,82,1,NA,NA,NA,3,9743,220240,22.60494714,-220240,-22.60494714,-1,-1
"116",2005,4,4,820750200,820750,82,1,NA,NA,NA,3,11716,180856,15.4366678,-180856,-15.4366678,-1,-1
"117",2006,4,4,820750200,820750,82,1,NA,NA,NA,3,16198,304084,18.77293493,-304084,-18.77293493,-1,-1
"118",2007,4,4,820750200,820750,82,1,NA,NA,NA,3,22749,509135,22.3805442,-509135,-22.3805442,-1,-1
"119",2001,4,4,820750900,820750,82,1,NA,NA,NA,3,13188,237012,17.97179254,-237012,-17.97179254,-1,-1
"120",2002,4,4,820750900,820750,82,1,NA,NA,NA,3,18644,252241,13.5293392,-252241,-13.5293392,-1,-1
"121",2003,4,4,820750900,820750,82,1,NA,NA,NA,3,21678,419061,19.33116524,-419061,-19.33116524,-1,-1
"122",2004,4,4,820750900,820750,82,1,NA,NA,NA,3,31015,652755,21.04642915,-652755,-21.04642915,-1,-1
"123",2005,4,4,820750900,820750,82,1,NA,NA,NA,3,48359,901050,18.63251928,-901050,-18.63251928,-1,-1
"124",2006,4,4,820750900,820750,82,1,NA,NA,NA,3,53429,1087663,20.35716558,-1087663,-20.35716558,-1,-1
"125",2007,4,4,820750900,820750,82,1,NA,NA,NA,3,62845,1070873,17.03990771,-1070873,-17.03990771,-1,-1
"126",2001,4,3,830140000,830140,83,2,2992792,1871805,0.625437718,3,129359,239758,1.853431149,1632047,-1.227993431,0.772909451,-0.495384587
"127",2002,4,3,830140000,830140,83,2,3622871,2363055,0.652260321,3,88142,190559,2.161954573,2172496,-1.509694253,0.850753481,-0.536453082
"128",2003,4,3,830140000,830140,83,2,4358732,2787628,0.639550218,3,118853,263387,2.216073637,2524241,-1.576523419,0.827344671,-0.552076709
"129",2004,4,3,830140000,830140,83,2,4615813,3022088,0.654724964,3,123024,251553,2.044747366,2770535,-1.390022402,0.846316074,-0.514923745
"130",2005,4,3,830140000,830140,83,2,4429147,3488393,0.787599283,3,151781,260177,1.714160534,3228216,-0.926561251,0.861185999,-0.370363792
"131",2006,4,3,830140000,830140,83,2,4194108,3524914,0.840444261,3,168327,326481,1.939564063,3198433,-1.099119801,0.830460911,-0.395365651
"132",2007,4,3,830140000,830140,83,2,4365779,4199473,0.961906913,3,154832,393660,2.542497675,3805813,-1.580590762,0.828587589,-0.451029761
"133",2001,4,4,830300000,830300,83,2,376036,239349,0.636505547,3,70497,66892,0.948863072,172457,-0.312357525,0.563141447,-0.197025172
"134",2002,4,4,830300000,830300,83,2,468711,272925,0.582288446,3,93731,70516,0.752323137,202409,-0.170034691,0.589355959,-0.127403878
"135",2003,4,4,830300000,830300,83,2,575420,334250,0.580880053,3,314624,173546,0.551598098,160704,0.029281955,0.316473544,0.02585653
"136",2004,4,4,830300000,830300,83,2,773262,366259,0.473654466,3,127380,90190,0.708038939,276069,-0.234384472,0.604818939,-0.198346264
