"","names.best_clu.cluster.","best_clu.cluster"
"1","1",5
"2","2",5
"3","3",5
"4","4",5
"5","5",5
"6","6",5
"7","7",5
"8","8",5
"9","9",5
"10","10",6
"11","11",6
"12","12",6
"13","13",6
"14","14",6
"15","15",6
"16","16",6
"17","17",6
"18","18",6
"19","19",6
"20","20",6
"21","21",6
"22","22",6
"23","23",6
"24","24",6
"25","25",6
"26","26",6
"27","27",6
"28","28",6
"29","29",6
"30","30",6
"31","31",5
"32","32",5
"33","33",5
"34","34",5
"35","35",5
"36","36",5
"37","37",5
"38","38",5
"39","39",5
"40","40",7
"41","41",3
"42","42",1
"43","43",7
"44","44",7
"45","45",3
"46","46",4
"47","47",4
"48","48",4
"49","49",4
"50","50",4
"51","51",4
"52","52",4
"53","53",5
"54","54",5
"55","55",4
"56","56",5
"57","57",5
"58","58",5
"59","59",5
"60","60",5
"61","61",5
"62","62",5
"63","63",5
"64","64",6
"65","65",6
"66","66",6
"67","67",6
"68","68",6
"69","69",6
"70","70",6
"71","71",6
"72","72",6
"73","73",6
"74","74",6
"75","75",6
"76","76",6
"77","77",6
"78","78",6
"79","79",6
"80","80",6
"81","81",6
"82","82",6
"83","83",6
"84","84",6
"85","85",5
"86","86",5
"87","87",5
"88","88",5
"89","89",5
"90","90",5
"91","91",5
"92","92",5
"93","93",5
"94","94",5
"95","95",5
"96","96",5
"97","97",5
"98","98",5
"99","99",6
"100","100",6
"101","101",6
"102","102",6
"103","103",6
"104","104",6
"105","105",6
"106","106",6
"107","107",6
"108","108",6
"109","109",6
"110","110",6
"111","111",6
"112","112",6
"113","113",6
"114","114",6
"115","115",6
"116","116",6
"117","117",6
"118","118",6
"119","119",6
"120","120",4
"121","121",4
"122","122",4
"123","123",4
"124","124",4
"125","125",4
"126","126",4
"127","127",7
"128","128",8
"129","129",7
"130","130",7
"131","131",1
"132","132",4
"133","133",1
"134","134",4
"135","135",4
"136","136",4
"137","137",4
"138","138",4
"139","139",4
"140","140",4
"141","141",1
"142","142",3
"143","143",6
"144","144",6
"145","145",7
"146","146",6
"147","147",3
"148","148",5
"149","149",5
"150","150",5
"151","151",5
"152","152",5
"153","153",5
"154","154",5
"155","155",6
"156","156",6
"157","157",6
"158","158",6
"159","159",6
"160","160",6
"161","161",6
"162","162",6
"163","163",6
"164","164",6
"165","165",6
